Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.229009254466674,0.10659970173081179,0.25764238848453136,0.31328548757263347
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,0.17264533200421056,0.1947209999844106,0.19296231021391205,0.12424764075967655
Industrias manufactureras,0.8599527670473274,0.6483660849602745,0.3545016616520003,0.23013137645190057
Comercio al por mayor,0.14951229887712386,0.19456402835174597,0.114168794970411,0.1074372805480927
Comercio al por menor,0.20381300754737733,0.2021030554583682,0.19200864788926664,0.18019585944629937
"Transportes, correos y almacenamiento",0.28511387210218453,0.44601709795870587,0.24436597726148057,0.36581736937414716
Información en medios masivos,0.6492733703306627,0.028544759020243102,0.09360281872204401,0.033000513705833415
Servicios financieros y de seguros,0.005149092583388333,0.007758956387106491,0.02602965546720556,0.017407020554730913
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.11485294949393007,0.2720517012539076,0.10529047964855053,0.060126038132207474
"Servicios profesionales, científicos y técnicos",0.2513552766733428,0.711949176364297,0.10991039390991547,0.1307698097928234
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.09195109951506072,0.21940657599422284,0.14220588841335693,0.0349745950435975
Servicios educativos,0.2429701615443054,0.10886791530173143,0.2132593434608685,0.10762472423413748
Servicios de salud y de asistencia social,0.11065459855919282,0.09796523553055801,0.13005981046319978,0.1590910222862996
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.05243344856123634,0.15485079141765223,0.06352470909518347,0.08995682765152904
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.13190988804941858,0.12711225831354447,0.11710639550995354,0.11507803278083244
Otros servicios excepto actividades gubernamentales,0.25261780885215,0.12669819597688725,0.18204768940183036,0.14411622067106658
Total,0.5903303314134603,0.4224337385414549,0.2567762211382464,0.18216423366842163
