Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.561421071471617,0.3213397571360893,1.688687049703225,1.7661472369240065
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,,,12.442833233559085,12.152770514499547
Industrias manufactureras,17.61193957261792,24.489425906617143,23.062913237565116,37.05406330941201
Comercio al por mayor,2.7028576204424746,3.63921396077405,3.697141835070424,1.5924696915184349
Comercio al por menor,2.090976088702804,1.6229142743797518,1.6562381096025478,1.265055599075482
"Transportes, correos y almacenamiento",4.864816818357219,12.614144761095908,12.319700751991036,11.516525799989958
Información en medios masivos,64.75540609968259,3.919021466002808,,
Servicios financieros y de seguros,0.043478059504538626,0.10490320228162646,0.04102723863227112,0.025621770004462183
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,2.4486816164687255,1.4274910289170855,2.0418091921141,4.317694590695141
"Servicios profesionales, científicos y técnicos",5.146735857410515,1.9369790638666655,1.4390804446730108,0.8502695773186575
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",82.1119583477401,14.825752564106402,31.792149137915988,55.112561508674574
Servicios educativos,8.093601674986882,20.66853067200699,5.991602596023958,12.084788483587047
Servicios de salud y de asistencia social,1.2699259160975471,1.5763649847473769,1.5494777266147037,1.9053022836022295
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",2.26128972654669,3.2262533676745018,2.145987822497015,2.0423325786097806
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.4297222340291516,1.596373900256742,1.174359385518101,1.4604256471787678
Otros servicios excepto actividades gubernamentales,0.5026961686606912,1.3093433981490699,1.8470821920147689,1.7444959725486926
Total,6.655859300526569,3.603203815694808,3.6691463449183184,3.2782920742759627
