Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.09181791049917525,0.06541048297668119,0.05699032064057456,0.04802719011068823
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,0.039094863458684785
Construcción,0.1177841614039802,0.08053872691371348,0.09131625164330881,0.05049581056103081
Industrias manufactureras,0.30392686989128104,0.121283873456922,0.09748313472839126,0.1249567271351797
Comercio al por mayor,0.07653035198353222,0.07369909562368825,0.06728112137519701,0.06286710370260959
Comercio al por menor,0.13041442410958673,0.10382726178378014,0.13234585865375462,0.13155579113456306
"Transportes, correos y almacenamiento",0.16042603424926744,0.1971467698370312,0.14647486807648377,0.17147456244240847
Información en medios masivos,0.0811194713213809,0.20816808757893737,0.14383583012946172,
Servicios financieros y de seguros,0.0017741150449128472,0.0025686873721642235,0.004922641469968589,0.004638719363804651
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.09077847844689016,0.08656938700763514,0.0354052133451658,0.05178009951248033
"Servicios profesionales, científicos y técnicos",0.06978435795713896,0.05916272566202601,0.029237370613818883,0.04536658872152335
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.07541155577233087,0.052805584284993295,0.03368302604018702,0.05417414439888295
Servicios educativos,0.04647585247989721,0.10231088778050922,0.07923333343319344,0.06631544955995601
Servicios de salud y de asistencia social,0.12213957900399584,0.10688658042683667,0.09228519072653482,0.09782821438560234
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.04191854161850806,0.06716202189042496,0.019914635597238443,0.03119929597018548
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.11294689592898577,0.09543246304862882,0.06711320597132912,0.09858379296619875
Otros servicios excepto actividades gubernamentales,0.04842537159010068,0.1407598562840428,0.1465053231158374,0.1468043605989662
Total,0.1975192188242969,0.07129474261081814,0.07070822946958452,0.08492037509030428
