Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.014698587870652428,0.06398249107794231,0.06872328116665039,0.056885041504573554
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.18234040444462127,0.17872758213052845,0.13136557554749445,0.12542999155237605
Industrias manufactureras,0.008163387964042193,0.014677858957607696,0.005163538830872635,0.008438553963580689
Comercio al por mayor,0.10459485800896244,0.14258122153638636,0.1009005506717157,0.13695265942451795
Comercio al por menor,0.11456172272863878,0.12606757872808338,0.1172899399242224,0.10328020917757609
"Transportes, correos y almacenamiento",0.04847751565303448,0.07686462110172705,0.05565497013036256,0.06477847355154656
Información en medios masivos,0.3390856698739778,0.13010450617751837,0.06012586274260503,0.09636805946937
Servicios financieros y de seguros,0.06870984570746592,0.09551717503588923,0.09299894697320643,0.08641919316768205
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.04264986000228992,0.045740651587643094,0.02606623715247963,0.057965909396348186
"Servicios profesionales, científicos y técnicos",0.08875811525593315,0.03551081302439573,0.061792079538994835,0.11091000515830272
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.03874604833356336,0.06614421025303653,0.04053530601336665,0.07076795509631331
Servicios educativos,0.05948065016561613,0.11482225763980322,0.0673694485766021,0.10815454009192281
Servicios de salud y de asistencia social,0.07412519798736697,0.06124279089981083,0.07343021109507669,0.10285672204881863
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.10408988764044945,0.06325769945385959,0.12356685631193341,0.11799645687418245
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.09586195716301647,0.11212171751701122,0.10777874744660552,0.11712553616262675
Otros servicios excepto actividades gubernamentales,0.21201060029597824,0.08687330047586676,0.08635759575918361,0.09146279093363639
Total,0.035190710457325386,0.033315564924260424,0.024560168286147377,0.0354479848949798
