Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.05550983227992234,0.05979447409818572,0.13226504794102753,0.18287236738405785
Industrias manufactureras,0.08288708262192575,0.07275436854234103,0.1022333298304427,0.1252652908563446
Comercio al por mayor,0.12166740941489812,0.10431774384365654,0.10832026517002719,0.09376949955131977
Comercio al por menor,0.12464624318577669,0.10743354355273083,0.120494477175008,0.12793171788535201
"Transportes, correos y almacenamiento",0.3356982302549007,0.2676079508290626,0.2700386293517548,0.35171903565127655
Información en medios masivos,0.0,0.1151085300042069,0.0,0.11939230783712042
Servicios financieros y de seguros,0.06607181302777312,0.05675199857664221,0.1522042887486319,0.12787593789979598
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.12111417426541429,0.12050718260980346,0.10867340378693521,0.14545379037862077
"Servicios profesionales, científicos y técnicos",0.07420818570403236,0.10897411116366103,0.09769871851275838,0.10536397778289397
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.09337361179228111,0.1295754138058542,0.09533673667110325,0.08913890313918298
Servicios educativos,0.09804143202985484,0.1334670823688352,0.07709476570902499,0.09745178441264299
Servicios de salud y de asistencia social,0.10852199292769898,0.14459057408772916,0.12026049375510939,0.13404161615369223
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.06570296375361585,0.3031540774333132,0.09442483565325926,0.10593001405856162
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.13293524042896543,0.14361532965310123,0.13861338016072905,0.1282780931937366
Otros servicios excepto actividades gubernamentales,0.17152026616071697,0.1253464754900946,0.15596941118407628,0.13669419944575018
Total,0.07531928038132012,0.10248171133598781,0.11655174423421362,0.13880460527547825
