Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.24580050568345232,0.2898637698000122,0.1102966417279321,0.12294933495054787
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.1900999664163105,0.12244342486052791,0.11489253875319716,0.13076579171611655
Industrias manufactureras,0.09228894721031305,0.08830411465626997,0.12988769373044243,0.14779331463974643
Comercio al por mayor,0.12896164433720805,0.10398059204519189,0.08915581990773892,0.15128227974562627
Comercio al por menor,0.15327783880294754,0.15143900481821115,0.1727952374312015,0.18830358171537123
"Transportes, correos y almacenamiento",0.07703748184421791,0.0767995583390205,0.1689165159524219,0.10837196197437969
Información en medios masivos,0.03856114711427364,0.11006860923819321,0.05157802409894737,0.11903343076694863
Servicios financieros y de seguros,0.22687788344766732,0.11838256694659395,0.18954237628780402,0.19007254409999239
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.23904673641479582,0.0957593909377803,0.16894437893130673,0.20568464924593158
"Servicios profesionales, científicos y técnicos",0.08790403406811528,0.05935451193418864,0.11548390660367938,0.11171825836179988
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.1511555978702297,0.1252783034163327,0.11958379000607632,0.2714369333632404
Servicios educativos,0.10687038282106164,0.1873180307316711,0.14738149143955545,0.15062370685142565
Servicios de salud y de asistencia social,0.2109544093033194,0.21449364899498594,0.1928602481427652,0.18612089785553682
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.17181828979171906,0.09635688287912422,0.09583636709396726,0.1635364056482227
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.1745263555994488,0.16620505016807816,0.18439801084951418,0.21129303063558363
Otros servicios excepto actividades gubernamentales,0.18074425595294047,0.26434709414693003,0.1592131383024951,0.20035147725212685
Total,0.08673870945286234,0.09988579647931971,0.13442270627880784,0.15188017905748488
