Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0007373673516920273,0.0
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.3059134271171913,0.2093667210829457,0.2517744015354785,0.15489000032158626
Industrias manufactureras,0.2462542378298231,0.16883178939227145,0.1803514116195352,0.20377716182243605
Comercio al por mayor,0.2176560105175801,0.24706225268378051,0.20798567116886285,0.2150641803110449
Comercio al por menor,0.22588307665447724,0.23863123159997915,0.24910779962472301,0.27321614205175915
"Transportes, correos y almacenamiento",0.09975955902495848,0.1270016749118184,0.1285849179226053,0.188743499019435
Información en medios masivos,0.11299978132588408,0.28496566992597083,0.6133756154934358,0.3107559943783753
Servicios financieros y de seguros,0.25834173044901343,0.28490136009116607,0.2280151606937479,0.17404498660329817
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.19809010971980795,0.41848423007937147,0.23847621711180123,0.20558693754677237
"Servicios profesionales, científicos y técnicos",0.45335025651060606,0.6898449320395633,0.3039163889415235,0.39203165664673945
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.4029935721750103,0.42661866420016625,0.28578046509355554,0.3125504953863163
Servicios educativos,0.2533339855487694,0.15114173070400344,0.14655038052127625,0.24483342630166055
Servicios de salud y de asistencia social,0.2674287192470225,0.21175153263057866,0.20972904306796983,0.2867136650220075
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.09106367041198501,0.05836608299082259,0.08992897200063046,0.11983357675807037
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.25798742718766415,0.2491067577296703,0.19964244749907295,0.20551892713407516
Otros servicios excepto actividades gubernamentales,0.3272057360800904,0.2669000679809653,0.2900133874060307,0.2541627365795801
Total,0.21859188141747346,0.182887532833769,0.18934628201510956,0.2048865122938106
