Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.6180854025196388,0.4701356186165984,0.739876298996406,0.7596851902445404
Minería,0.0,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.47215602959671044
Construcción,0.2763091748607819,0.3995789233288435,0.2865142547853991,0.36486975113891884
Industrias manufactureras,0.5295169403195176,0.6155011866470713,0.5824586763020622,0.4605223461372643
Comercio al por mayor,0.34039416876950357,0.3329451141735108,0.3845555040242081,0.3178516375887871
Comercio al por menor,0.2933326102410772,0.31598394010362285,0.2610491630556603,0.24131902672671085
"Transportes, correos y almacenamiento",0.2723914144794103,0.24304320638062454,0.30839670216779436,0.31693631229354674
Información en medios masivos,0.4135863190838773,0.028350343786312196,0.15938666982888258,0.0
Servicios financieros y de seguros,0.27502515131486843,0.510368657466125,0.3246914076494901,0.32238855671877453
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.2856517127523495,0.26577606801834625,0.46038963509083536,0.4010970817776841
"Servicios profesionales, científicos y técnicos",0.3666493478580611,0.20407845377016837,0.422765422896259,0.30727956202047363
Dirección y administración de grupos empresariales o corporativos,0.0,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.3045559610284924,0.31911280981706464,0.43677734656152145,0.24032023512383685
Servicios educativos,0.507051317637238,0.3818132138530017,0.35888936886459194,0.37307430925668955
Servicios de salud y de asistencia social,0.2612146703755436,0.30383448331113494,0.3500496541259808,0.3005065373226132
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.44555125889432007,0.2689023738432016,0.5606778393110237,0.43822752746111365
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.2810257041515446,0.2758402492994865,0.31876830258367866,0.26522579388374035
Otros servicios excepto actividades gubernamentales,0.2570102023550645,0.23524380826397517,0.24336958255059582,0.24747772737097826
Total,0.38175167142151184,0.5174003162478567,0.4848480557224461,0.39395400343256504
