Año Censal,Entidad,Actividad económica,Q000A Acervo total de activos fijos (millones de pesos),A221A Formación bruta de capital fijo (millones de pesos),A211A Inversión total (millones de pesos),A121A Consumo intermedio (millones de pesos),H001A Personal ocupado total,A111A Producción bruta total (millones de pesos),A131A Valor agregado censal bruto (millones de pesos)
2023,00 Total Nacional,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",50342.108,677.176,695.756,29564.431,242812,74141.546,44577.115
2023,00 Total Nacional,Sector 21 Minería,1077642.144,157400.285,147981.56,190895.081,166978,1294561.736,1103666.655
2023,00 Total Nacional,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",2523424.796,78501.78,83077.598,651734.835,231195,1006602.796,354867.961
2023,00 Total Nacional,Sector 23 Construcción,167652.283,5831.713,7333.176,651142.193,711553,973332.76,322190.567
2023,00 Total Nacional,Sector 31-33 Industrias manufactureras,3843534.767,245497.13,224606.187,8640831.427,7190294,14031778.72,5390947.292
2023,00 Total Nacional,Sector 43 Comercio al por mayor,1100789.313,3184.37,171788.352,599306.962,1804075,2195089.055,1595782.093
2023,00 Total Nacional,Sector 46 Comercio al por menor,1077093.804,38537.54,61581.009,689257.275,6840541,2788341.846,2099084.571
2023,00 Total Nacional,"Sector 48-49 Transportes, correos y almacenamiento",913310.356,35241.99,35156.763,552409.715,1273482,1124268.363,571858.648
2023,00 Total Nacional,Sector 51 Información en medios masivos,790715.222,12250.59,12788.075,438046.697,307724,707857.842,269811.145
2023,00 Total Nacional,Sector 52 Servicios financieros y de seguros,260628.095,24402.659,24031.253,555881.649,647493,2035246.449,1479364.8
2023,00 Total Nacional,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,177719.518,5972.649,6123.98,119595.26,332650,251879.082,132283.822
2023,00 Total Nacional,"Sector 54 Servicios profesionales, científicos y técnicos",58633.95,1067.55,880.657,116282.985,680712,308709.544,192426.559
2023,00 Total Nacional,Sector 55 Dirección y administración de grupos empresariales o corporativos,71964.27,6032.26,6534.263,85451.471,124595,659659.086,574207.615
2023,00 Total Nacional,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",162122.306,7932.362,7867.36,163289.867,796375,434356.001,271066.134
2023,00 Total Nacional,Sector 61 Servicios educativos,192781.529,7408.166,7303.69,73983.64,776869,267128.115,193144.475
2023,00 Total Nacional,Sector 62 Servicios de salud y de asistencia social,162445.121,5265.94,5566.85,129975.694,871560,312844.126,182868.432
2023,00 Total Nacional,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",107426.271,3272.141,3330.209,58657.141,269706,148040.5,89383.359
2023,00 Total Nacional,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,565020.698,12527.861,13201.966,557474.368,3016803,1128539.328,571064.96
2023,00 Total Nacional,Sector 81 Otros servicios excepto actividades gubernamentales,202004.121,2651.22,-52680.772,175639.328,1680016,405033.117,229393.789
2023,28 Tamaulipas,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1247.658,4.1,4.1,1335.395,6702,2997.747,1662.352
2023,28 Tamaulipas,Sector 21 Minería,,,,,,,
2023,28 Tamaulipas,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",23389.633,473.406,501.453,6396.588,6559,12325.559,5928.971
2023,28 Tamaulipas,Sector 23 Construcción,5334.157,49.245,67.717,9608.619,17457,15346.353,5737.734
2023,28 Tamaulipas,Sector 31-33 Industrias manufactureras,109687.173,5527.568,4289.126,220807.855,343428,424321.277,203513.422
2023,28 Tamaulipas,Sector 43 Comercio al por mayor,12899.327,790.322,177.254,9914.645,37286,41402.549,31487.904
2023,28 Tamaulipas,Sector 46 Comercio al por menor,33272.564,1632.811,3032.429,20098.139,178017,84470.252,64372.113
2023,28 Tamaulipas,"Sector 48-49 Transportes, correos y almacenamiento",45604.882,3399.495,3399.521,23879.09,69398,54171.161,30292.071
2023,28 Tamaulipas,Sector 51 Información en medios masivos,826.098,21.809,21.753,2102.595,6544,4705.426,2602.831
2023,28 Tamaulipas,Sector 52 Servicios financieros y de seguros,932.395,51.686,45.012,2006.464,5093,3741.724,1735.26
2023,28 Tamaulipas,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,2831.51,117.201,119.164,1413.762,8097,4206.979,2793.217
2023,28 Tamaulipas,"Sector 54 Servicios profesionales, científicos y técnicos",1313.017,15.208,4.005,1539.266,11329,4319.106,2779.84
2023,28 Tamaulipas,Sector 55 Dirección y administración de grupos empresariales o corporativos,,,,,,,
2023,28 Tamaulipas,"Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2387.833,134.784,132.616,2069.496,14044,6143.486,4073.99
2023,28 Tamaulipas,Sector 61 Servicios educativos,5077.955,144.406,139.001,1683.369,20772,6609.836,4926.467
2023,28 Tamaulipas,Sector 62 Servicios de salud y de asistencia social,3650.653,156.393,162.143,3530.62,23132,8782.571,5251.951
2023,28 Tamaulipas,"Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1943.34,80.426,80.492,655.918,5554,1737.821,1081.903
2023,28 Tamaulipas,Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,8785.752,110.87,113.75,13335.273,69550,27484.314,14149.041
2023,28 Tamaulipas,Sector 81 Otros servicios excepto actividades gubernamentales,4714.819,97.508,85.486,4858.883,51903,12389.422,7530.539
2018,00 Total Nacional,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",26592.966,724.279,714.257,24702.236,233554,44596.605,19894.369
2018,00 Total Nacional,Sector 21 Minería,1270146.989,112750.974,116883.727,274919.361,190685,1219303.913,944384.552
