Año Censal,Entidad,Municipio,Actividad económica,UE Unidades económicas
2023,00 Total Nacional,"",Total nacional,5468180
2023,00 Total Nacional,"","Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",24984
2023,00 Total Nacional,"",Sector 21 Minería,2960
2023,00 Total Nacional,"","Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",3139
2023,00 Total Nacional,"",Sector 23 Construcción,17438
2023,00 Total Nacional,"",Sector 31-33 Industrias manufactureras,634248
2023,00 Total Nacional,"",Sector 43 Comercio al por mayor,159741
2023,00 Total Nacional,"",Sector 46 Comercio al por menor,2426012
2023,00 Total Nacional,"","Sector 48-49 Transportes, correos y almacenamiento",24861
2023,00 Total Nacional,"",Sector 51 Información en medios masivos,7999
2023,00 Total Nacional,"",Sector 52 Servicios financieros y de seguros,27260
2023,00 Total Nacional,"",Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,78541
2023,00 Total Nacional,"","Sector 54 Servicios profesionales, científicos y técnicos",106064
2023,00 Total Nacional,"",Sector 55 Dirección y administración de grupos empresariales o corporativos,339
2023,00 Total Nacional,"","Sector 56 Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",54858
2023,00 Total Nacional,"",Sector 61 Servicios educativos,53534
2023,00 Total Nacional,"",Sector 62 Servicios de salud y de asistencia social,245034
2023,00 Total Nacional,"","Sector 71 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",55889
2023,00 Total Nacional,"",Sector 72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas,749918
2023,00 Total Nacional,"",Sector 81 Otros servicios excepto actividades gubernamentales,795361
2023,28 Tamaulipas,"",Total estatal,129404
2023,28 Tamaulipas,"","Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",933
2023,28 Tamaulipas,"",Sector 21 Minería,19
2023,28 Tamaulipas,"","Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",54
2023,28 Tamaulipas,"",Sector 23 Construcción,522
2023,28 Tamaulipas,"",Sector 31-33 Industrias manufactureras,9888
2023,28 Tamaulipas,"",Sector 43 Comercio al por mayor,2980
2023,28 Tamaulipas,"",Sector 46 Comercio al por menor,53936
2023,28 Tamaulipas,"","Sector 48-49 Transportes, correos y almacenamiento",1479
