Año Censal,Entidad,Municipio,Actividad económica,H001A Personal ocupado total,A111A Producción bruta total (millones de pesos),A121A Consumo intermedio (millones de pesos),A131A Valor agregado censal bruto (millones de pesos),A211A Inversión total (millones de pesos),A221A Formación bruta de capital fijo (millones de pesos),Q000A Acervo total de activos fijos (millones de pesos)
2023,00 Total Nacional,,Total nacional,27965433,30147410.01,14479420.02,15667989.99,767167.932,653655.382,13505250.67
2023,00 Total Nacional,,"Sector 11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",242812,74141.546,29564.431,44577.115,695.756,677.176,50342.108
2023,00 Total Nacional,,Sector 21 Minería,166978,1294561.736,190895.081,1103666.655,147981.56,157400.285,1077642.144
2023,00 Total Nacional,,"Sector 22 Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",231195,1006602.796,651734.835,354867.961,83077.598,78501.78,2523424.796
2023,00 Total Nacional,,Sector 23 Construcción,711553,973332.76,651142.193,322190.567,7333.176,5831.713,167652.283
2023,00 Total Nacional,,Sector 31-33 Industrias manufactureras,7190294,14031778.72,8640831.427,5390947.292,224606.187,245497.13,3843534.767
2023,00 Total Nacional,,Sector 43 Comercio al por mayor,1804075,2195089.055,599306.962,1595782.093,171788.352,3184.37,1100789.313
2023,00 Total Nacional,,Sector 46 Comercio al por menor,6840541,2788341.846,689257.275,2099084.571,61581.009,38537.54,1077093.804
2023,00 Total Nacional,,"Sector 48-49 Transportes, correos y almacenamiento",1273482,1124268.363,552409.715,571858.648,35156.763,35241.99,913310.356
2023,00 Total Nacional,,Sector 51 Información en medios masivos,307724,707857.842,438046.697,269811.145,12788.075,12250.59,790715.222
2023,00 Total Nacional,,Sector 52 Servicios financieros y de seguros,647493,2035246.449,555881.649,1479364.8,24031.253,24402.659,260628.095
2023,00 Total Nacional,,Sector 53 Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,332650,251879.082,119595.26,132283.822,6123.98,5972.649,177719.518
2023,00 Total Nacional,,"Sector 54 Servicios profesionales, científicos y técnicos",680712,308709.544,116282.985,192426.559,880.657,1067.55,58633.95
