Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.14,0.15,0.2,0.2
Minería,3.97,2.78,2.25,1.32
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",4.24,2.43,3.59,4.5
Construcción,4.8,2.99,2.82,4.5
Industrias manufactureras,57.44,62.62,62.21,59.68
Comercio al por mayor,3.12,3.17,3.04,4.14
Comercio al por menor,4.41,3.88,4.22,4.76
"Transportes, correos y almacenamiento",4.06,3.84,3.59,3.82
Información en medios masivos,4.67,4.73,3.5,3.03
Servicios financieros y de seguros,3.55,3.35,3.91,3.84
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.86,0.63,0.77,0.83
"Servicios profesionales, científicos y técnicos",1.23,1.09,0.94,0.8
Dirección y administración de grupos empresariales o corporativos,0.37,1.06,0.8,0.59
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.21,1.35,1.77,1.13
Servicios educativos,0.54,0.68,0.53,0.51
Servicios de salud y de asistencia social,0.66,0.74,0.83,0.9
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.43,0.47,0.51,0.41
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.94,2.89,3.37,3.85
Otros servicios excepto actividades gubernamentales,1.36,1.14,1.15,1.21
Total,100.0,100.0,100.0,100.0
