Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",824.486,618.621,714.257,695.756
Minería,84813.461,196788.299,116883.727,147981.56
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",37376.639,25319.751,61644.957,83077.598
Construcción,11099.638,5673.818,2403.62,7333.176
Industrias manufactureras,118290.674,121681.508,217251.254,224606.187
Comercio al por mayor,29020.411,26488.859,215863.892,171788.352
Comercio al por menor,45171.925,36923.732,36431.968,61581.009
"Transportes, correos y almacenamiento",64502.328,31212.741,23480.511,35156.763
Información en medios masivos,49008.389,24680.102,140455.793,12788.075
Servicios financieros y de seguros,12923.527,16919.091,22438.874,24031.253
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,4121.482,3277.292,6691.348,6123.98
"Servicios profesionales, científicos y técnicos",2836.298,3421.924,2654.031,880.657
Dirección y administración de grupos empresariales o corporativos,4055.76,6417.394,6559.573,6534.263
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",4349.807,25513.444,5764.917,7867.36
Servicios educativos,4622.592,5617.87,6183.685,7303.69
Servicios de salud y de asistencia social,3776.512,5219.261,4829.876,5566.85
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",2227.305,3262.757,2381.034,3330.209
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,11476.223,7276.714,14941.058,13201.966
Otros servicios excepto actividades gubernamentales,2999.868,4547.619,6381.763,-52680.772
Total,493497.325,550860.797,893956.1379999999,767167.932
