Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",14035.461,18501.064,26592.966,50342.108
Minería,508227.489,1125854.772,1270146.989,1077642.144
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1300553.314,1837797.575,1980358.251,2523424.796
Construcción,84188.91,85834.351,115375.417,167652.283
Industrias manufactureras,1586990.745,2154257.963,2966441.027,3843534.767
Comercio al por mayor,168003.161,244477.178,1271578.543,1100789.313
Comercio al por menor,399208.741,567201.742,963447.006,1077093.804
"Transportes, correos y almacenamiento",640674.35,706934.114,592882.712,913310.356
Información en medios masivos,381969.349,301733.759,853372.66,790715.222
Servicios financieros y de seguros,91967.432,119705.034,177786.445,260628.095
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,85284.902,71329.003,164902.229,177719.518
"Servicios profesionales, científicos y técnicos",44186.821,50004.217,102973.896,58633.95
Dirección y administración de grupos empresariales o corporativos,62024.666,84393.351,86950.504,71964.27
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",37639.786,104807.792,100995.821,162122.306
Servicios educativos,85530.714,77079.911,128405.151,192781.529
Servicios de salud y de asistencia social,62027.943,75331.553,113043.518,162445.121
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",54603.923,69677.72,95390.316,107426.271
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,235780.113,271767.964,411233.586,565020.698
Otros servicios excepto actividades gubernamentales,84302.625,106037.406,162204.978,202004.121
Total,5927200.445,8072726.469,11584082.015,13505250.672
