Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.24,0.23,0.23,0.37
Minería,8.57,13.95,10.96,7.98
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",21.94,22.77,17.1,18.68
Construcción,1.42,1.06,1.0,1.24
Industrias manufactureras,26.77,26.69,25.61,28.46
Comercio al por mayor,2.83,3.03,10.98,8.15
Comercio al por menor,6.74,7.03,8.32,7.98
"Transportes, correos y almacenamiento",10.81,8.76,5.12,6.76
Información en medios masivos,6.44,3.74,7.37,5.85
Servicios financieros y de seguros,1.55,1.48,1.53,1.93
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.44,0.88,1.42,1.32
"Servicios profesionales, científicos y técnicos",0.75,0.62,0.89,0.43
Dirección y administración de grupos empresariales o corporativos,1.05,1.05,0.75,0.53
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.64,1.3,0.87,1.2
Servicios educativos,1.44,0.95,1.11,1.43
Servicios de salud y de asistencia social,1.05,0.93,0.98,1.2
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.92,0.86,0.82,0.8
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3.98,3.37,3.55,4.18
Otros servicios excepto actividades gubernamentales,1.42,1.31,1.4,1.5
Total,100.0,100.0,100.0,100.0
