Actividad económica,Centro_2008,Centro_2013,Centro_2018,Centro_2023,Frontera_2008,Frontera_2013,Frontera_2018,Frontera_2023,Mante_2008,Mante_2013,Mante_2018,Mante_2023,Matamoros_2008,Matamoros_2013,Matamoros_2018,Matamoros_2023,Reynosa_2008,Reynosa_2013,Reynosa_2018,Reynosa_2023,Ribereña_2008,Ribereña_2013,Ribereña_2018,Ribereña_2023,Sur_2008,Sur_2013,Sur_2018,Sur_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.3,4.916,0.39699999999999996,1.214,0.0,0.0,0.0,0.0,-0.056,0.048999999999999995,0.015,-0.002,0.356,35.153,0.014,0.0,0.0,0.0,0.059,0.0,2.3560000000000003,0.89,0.02,2.762,6.0009999999999994,1.864,6.957,0.121
Minería,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.341
Construcción,-21.054,-2.382,-1.596,-10.153,6.239,-1.66,27.123,14.293,6.562,0.314,0.0,-0.001,59.964,1.968,5.3500000000000005,3.301,312.579,0.973,-32.876,16.225,0.0,0.0,-0.27,0.795,48.114,69.62899999999999,29.348,23.878
Industrias manufactureras,19.948,67.74599999999998,52.233,56.208,382.719,399.673,377.445,1089.834,-46.986,5.586,-51.74,255.789,916.671,802.605,873.595,821.066,883.62,882.0409999999999,1165.08,1670.941,-22.275000000000002,3.204,10.565,1.8979999999999997,1094.3999999999999,1444.7469999999998,9818.509,393.325
Comercio al por mayor,38.352000000000004,85.54899999999999,177.24099999999999,-87.43299999999999,81.312,43.589,220.63,7.579,49.81099999999999,65.762,51.193,-13.619999999999997,111.273,61.415,453.406,-30.536,123.028,43.352,259.618,134.31799999999998,15.979,-0.29200000000000004,-2.8930000000000007,14.42,264.547,248.255,243.16000000000003,152.54199999999997
Comercio al por menor,194.157,249.707,130.807,295.496,239.454,-2336.602,306.882,482.634,88.029,39.922000000000004,49.439,62.937,253.93200000000002,-2025.509,335.33399999999995,478.619,307.604,-2632.3520000000003,771.7080000000001,570.093,35.080999999999996,18.063000000000002,45.353,-30.362,425.392,353.84000000000003,466.238,1172.2559999999999
"Transportes, correos y almacenamiento",224.982,530.174,24.906,825.07,433.133,469.747,103.59,901.374,7.865,39.109,-0.716,125.676,160.677,46.293,39.352,293.629,111.555,306.267,91.659,722.203,1.021,0.020999999999999998,1.274,-0.01,361.027,1087.157,582.609,436.484
Información en medios masivos,373.946,16.249000000000002,8.655,3.148,0.0,1.636,0.0,0.79,3.174,0.0,-0.005,0.004,8.407,-2.2310000000000003,15.265,5.559,23.234,-4.074,538.698,3.565,0.447,0.015,0.0,0.0,292.144,0.08,22.48,0.0
Servicios financieros y de seguros,0.653,0.463,1.581,20.37,0.95,0.707,1.621,3.764,0.299,1.9369999999999998,0.393,1.742,1.338,0.994,2.408,2.0869999999999997,0.23199999999999998,2.23,2.899,1.124,0.0,0.09000000000000001,0.112,-0.153,18.499000000000002,1.036,12.895,15.868
