Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",5.245,16.225,64.029,75.964
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,1709.149,1022.34,976.542,1205.209
Industrias manufactureras,1437.297,2998.346,1303.364,1863.299
Comercio al por mayor,479.815,745.0,633.817,1357.837
Comercio al por menor,1007.887,1256.435,1991.082,2075.74
"Transportes, correos y almacenamiento",314.284,1009.756,899.611,1546.851
Información en medios masivos,2490.334,164.781,194.361,202.623
Servicios financieros y de seguros,19.229,38.724,180.076,173.397
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,73.755,53.681,33.18,81.95
"Servicios profesionales, científicos y técnicos",148.322,90.877,83.157,170.72
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",47.162,142.166,139.38899999999998,146.454
Servicios educativos,42.559,157.41500000000002,141.344,182.064
Servicios de salud y de asistencia social,69.91799999999999,75.53299999999999,177.228,363.148
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",27.792,28.088,48.607,77.396
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,388.501,568.741,941.441,1561.901
Otros servicios excepto actividades gubernamentales,543.532,204.465,352.206,444.407
Total,8804.780999999999,8572.573,8159.434,11528.96
