Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.06,0.19,0.78,0.66
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,19.41,11.93,11.97,10.45
Industrias manufactureras,16.32,34.98,15.97,16.16
Comercio al por mayor,5.45,8.69,7.77,11.78
Comercio al por menor,11.45,14.66,24.4,18.0
"Transportes, correos y almacenamiento",3.57,11.78,11.03,13.42
Información en medios masivos,28.28,1.92,2.38,1.76
Servicios financieros y de seguros,0.22,0.45,2.21,1.5
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.84,0.63,0.41,0.71
"Servicios profesionales, científicos y técnicos",1.68,1.06,1.02,1.48
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.54,1.66,1.71,1.27
Servicios educativos,0.48,1.84,1.73,1.58
Servicios de salud y de asistencia social,0.79,0.88,2.17,3.15
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.32,0.33,0.6,0.67
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4.41,6.63,11.54,13.55
Otros servicios excepto actividades gubernamentales,6.17,2.39,4.32,3.85
Total,100.0,100.0,100.0,100.0
