Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",627.0,734.0,698.0,443.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,5871.0,4408.0,2723.0,2038.0
Industrias manufactureras,9363.0,10200.0,12590.0,9997.0
Comercio al por mayor,3733.0,4625.0,4015.0,4525.0
Comercio al por menor,18681.0,18883.0,20644.0,22387.0
"Transportes, correos y almacenamiento",3734.0,5054.0,4824.0,3992.0
Información en medios masivos,2876.0,1488.0,759.0,750.0
Servicios financieros y de seguros,296.0,382.0,677.0,719.0
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,851.0,679.0,598.0,870.0
"Servicios profesionales, científicos y técnicos",2010.0,1554.0,1347.0,1538.0
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1581.0,2676.0,1959.0,1259.0
Servicios educativos,1566.0,2452.0,2989.0,2729.0
Servicios de salud y de asistencia social,1898.0,1726.0,2099.0,2566.0
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",528.0,469.0,577.0,887.0
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5388.0,5611.0,7026.0,9057.0
Otros servicios excepto actividades gubernamentales,5163.0,4535.0,6087.0,6067.0
Total,64166.0,65476.0,69612.0,69824.0
