Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",40.403000000000006,54.895,51.308,89.66
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,888.693,679.675,609.897,612.612
Industrias manufactureras,1051.474,2598.072,1644.53,2078.478
Comercio al por mayor,579.993,1124.897,1579.964,1852.338
Comercio al por menor,1813.225,2384.071,8589.374,4102.279
"Transportes, correos y almacenamiento",1521.491,2489.745,2468.708,4961.614
Información en medios masivos,3913.624,300.457,117.466,121.194
Servicios financieros y de seguros,13.106,21.174,39.565,306.176
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,157.019,152.96599999999998,212.98,281.518
"Servicios profesionales, científicos y técnicos",154.239,120.659,133.788,198.529
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",57.173,53.900000000000006,122.41,101.077
Servicios educativos,185.749,137.59799999999998,442.103,748.05
Servicios de salud y de asistencia social,174.222,186.023,379.037,540.9399999999999
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",216.691,38.303,263.471,386.007
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,571.376,534.936,582.414,918.527
Otros servicios excepto actividades gubernamentales,391.609,344.293,470.553,622.287
Total,11730.087,11221.664,17707.568,17921.286
