Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,715.102,475.317,1278.222,3049.918
Industrias manufactureras,7468.895,10619.52,20007.034,38818.183
Comercio al por mayor,1418.933,1474.569,3081.857,3835.893
Comercio al por menor,2735.682,3129.475,6877.572,10666.577
"Transportes, correos y almacenamiento",6039.011,7679.059,10037.432,17166.123
Información en medios masivos,0.0,332.612,0.0,562.894
Servicios financieros y de seguros,51.596,93.234,309.553,412.453
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,429.59,284.989,226.882,593.055
"Servicios profesionales, científicos y técnicos",299.056,253.089,320.378,416.741
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",468.784,641.805,997.942,512.38
Servicios educativos,233.108,577.689,403.176,595.867
Servicios de salud y de asistencia social,227.84,346.306,506.992,1046.906
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",37.899,395.355,83.47,172.561
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,935.168,1202.249,2066.734,3485.044
Otros servicios excepto actividades gubernamentales,405.487,658.034,1258.913,1646.601
Total,21466.151000000005,28163.302,47456.15700000001,82981.196
