Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,-0.0,0.0,0.0
Minería,0.0,-0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,-0.0,0.0,0.0
Construcción,0.31,-0.07,2.63,0.06
Industrias manufactureras,24.76,-28.26,34.46,47.17
Comercio al por mayor,2.21,-2.47,23.32,3.01
Comercio al por menor,20.95,168.89,19.91,8.1
"Transportes, correos y almacenamiento",48.92,-32.56,9.39,36.81
Información en medios masivos,0.0,-0.11,0.0,0.03
Servicios financieros y de seguros,0.05,-0.06,0.13,0.15
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.3,0.11,1.1,0.58
"Servicios profesionales, científicos y técnicos",0.07,-0.19,0.54,-0.17
Dirección y administración de grupos empresariales o corporativos,0.0,-0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.67,-1.11,0.97,1.83
Servicios educativos,0.46,-1.17,0.09,0.65
Servicios de salud y de asistencia social,0.16,-0.94,2.28,0.27
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",-0.0,-0.58,0.55,0.53
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.86,-0.97,2.27,0.19
Otros servicios excepto actividades gubernamentales,0.26,-0.51,2.34,0.79
Total,100.0,100.0,100.0,100.0
