Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,3.35,1.87,2.33,1.94
Industrias manufactureras,29.57,29.97,31.6,36.39
Comercio al por mayor,3.93,3.96,2.88,2.97
Comercio al por menor,22.53,19.0,17.62,15.3
"Transportes, correos y almacenamiento",14.14,16.76,19.69,24.27
Información en medios masivos,0.0,0.84,0.0,0.5
Servicios financieros y de seguros,0.48,0.57,1.11,0.5
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.85,0.76,0.67,0.58
"Servicios profesionales, científicos y técnicos",1.99,1.63,1.44,0.93
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",3.98,5.06,3.99,1.06
Servicios educativos,1.93,3.18,1.85,1.41
Servicios de salud y de asistencia social,2.81,2.48,2.46,2.09
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.43,0.71,0.59,0.51
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,7.63,7.58,7.58,6.44
Otros servicios excepto actividades gubernamentales,6.37,5.63,6.18,5.11
Total,100.0,100.0,100.0,100.0
