Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,167.401,202.385,244.685,636.704
Industrias manufactureras,2244.738,4128.072,5951.323,11127.023
Comercio al por mayor,494.551,620.977,1513.308,812.497
Comercio al por menor,1812.508,2581.252,2865.502,4093.738
"Transportes, correos y almacenamiento",3633.222,6125.097,7248.079,11067.33
Información en medios masivos,0.0,83.123,0.0,93.834
Servicios financieros y de seguros,11.38,28.715,42.789,43.426
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,153.367,182.323,386.068,473.044
"Servicios profesionales, científicos y técnicos",74.985,90.89,126.37,173.12
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",148.544,205.862,191.47,196.088
Servicios educativos,100.257,566.664,289.168,580.117
Servicios de salud y de asistencia social,127.261,261.844,358.185,485.441
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",39.67,236.278,128.229,253.465
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,558.593,671.759,973.149,1008.554
Otros servicios excepto actividades gubernamentales,312.281,349.786,514.021,627.782
Total,9878.758000000002,16335.027,20832.346000000005,31672.163
