Actividad económica,Centro_2008,Centro_2013,Centro_2018,Centro_2023,Frontera_2008,Frontera_2013,Frontera_2018,Frontera_2023,Mante_2008,Mante_2013,Mante_2018,Mante_2023,Matamoros_2008,Matamoros_2013,Matamoros_2018,Matamoros_2023,Reynosa_2008,Reynosa_2013,Reynosa_2018,Reynosa_2023,Ribereña_2008,Ribereña_2013,Ribereña_2018,Ribereña_2023,Sur_2008,Sur_2013,Sur_2018,Sur_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",627.0,734.0,698.0,443.0,0.0,0.0,0.0,0.0,143.0,124.0,143.0,149.0,3301.0,2808.0,2915.0,2850.0,0.0,0.0,18.0,0.0,520.0,463.0,296.0,281.0,2916.0,1791.0,2626.0,2693.0
Minería,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.0
Construcción,5871.0,4408.0,2723.0,2038.0,2458.0,1519.0,2325.0,2415.0,690.0,349.0,0.0,109.0,6784.0,1903.0,1986.0,2044.0,5947.0,3062.0,3479.0,3725.0,0.0,0.0,90.0,51.0,12789.0,7307.0,6580.0,6822.0
Industrias manufactureras,9363.0,10200.0,12590.0,9997.0,21692.0,24366.0,31468.0,45383.0,4889.0,4206.0,4933.0,4080.0,65643.0,68683.0,93436.0,91713.0,108895.0,104708.0,147832.0,161798.0,1931.0,1262.0,1654.0,926.0,21783.0,19992.0,31783.0,29518.0
Comercio al por mayor,3733.0,4625.0,4015.0,4525.0,2884.0,3219.0,2871.0,3708.0,2236.0,2154.0,2525.0,2672.0,5055.0,4298.0,4788.0,5779.0,6736.0,7273.0,7353.0,9942.0,432.0,294.0,585.0,401.0,9437.0,9346.0,9669.0,10206.0
Comercio al por menor,18681.0,18883.0,20644.0,22387.0,16527.0,15448.0,17548.0,19077.0,10615.0,9453.0,9573.0,11724.0,26299.0,24394.0,25270.0,33818.0,31963.0,32848.0,35578.0,44965.0,3832.0,3185.0,3734.0,3873.0,36950.0,36055.0,41082.0,42147.0
"Transportes, correos y almacenamiento",3734.0,5054.0,4824.0,3992.0,10373.0,13625.0,19608.0,30275.0,612.0,1363.0,736.0,1333.0,2795.0,5038.0,5245.0,6433.0,3341.0,5664.0,7836.0,11110.0,167.0,204.0,312.0,309.0,6265.0,7999.0,13826.0,15180.0
Información en medios masivos,2876.0,1488.0,759.0,750.0,0.0,681.0,0.0,622.0,96.0,7.0,134.0,64.0,1075.0,693.0,698.0,634.0,1482.0,945.0,3361.0,2920.0,60.0,46.0,0.0,0.0,2435.0,160.0,1561.0,0.0
Servicios financieros y de seguros,296.0,382.0,677.0,719.0,351.0,462.0,1106.0,629.0,124.0,152.0,131.0,132.0,651.0,581.0,1151.0,907.0,701.0,818.0,1351.0,1027.0,44.0,73.0,108.0,102.0,826.0,771.0,1859.0,1530.0
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,851.0,679.0,598.0,870.0,626.0,619.0,667.0,729.0,187.0,199.0,218.0,329.0,1146.0,890.0,1081.0,1587.0,2623.0,2542.0,1768.0,2219.0,175.0,124.0,133.0,125.0,1582.0,1526.0,2192.0,2214.0
"Servicios profesionales, científicos y técnicos",2010.0,1554.0,1347.0,1538.0,1460.0,1323.0,1434.0,1163.0,568.0,511.0,449.0,517.0,1787.0,1694.0,1790.0,1684.0,3723.0,2770.0,2268.0,2317.0,208.0,160.0,185.0,206.0,4619.0,3251.0,5365.0,3859.0
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1581.0,2676.0,1959.0,1259.0,2921.0,4113.0,3972.0,1328.0,340.0,362.0,1006.0,215.0,7132.0,5198.0,4019.0,2317.0,8784.0,9174.0,8011.0,4095.0,47.0,61.0,50.0,24.0,7709.0,8620.0,11871.0,4762.0
Servicios educativos,1566.0,2452.0,2989.0,2729.0,1416.0,2588.0,1843.0,1760.0,514.0,741.0,970.0,598.0,2766.0,3955.0,4146.0,3230.0,3385.0,4474.0,5224.0,4841.0,244.0,135.0,261.0,78.0,7675.0,8352.0,9220.0,7488.0
Servicios de salud y de asistencia social,1898.0,1726.0,2099.0,2566.0,2060.0,2020.0,2447.0,2608.0,634.0,577.0,783.0,947.0,2987.0,3620.0,4033.0,4195.0,4070.0,3682.0,4398.0,5365.0,473.0,400.0,479.0,427.0,4634.0,4871.0,5886.0,7006.0
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",528.0,469.0,577.0,887.0,316.0,578.0,587.0,630.0,203.0,135.0,159.0,275.0,784.0,602.0,747.0,937.0,506.0,566.0,677.0,834.0,95.0,48.0,56.0,55.0,1184.0,1299.0,1778.0,1894.0
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5388.0,5611.0,7026.0,9057.0,5594.0,6164.0,7549.0,8031.0,3145.0,2825.0,3508.0,4997.0,8528.0,7412.0,10090.0,13206.0,10316.0,9748.0,10648.0,14109.0,1209.0,1012.0,1392.0,1490.0,13382.0,12358.0,17992.0,18660.0
Otros servicios excepto actividades gubernamentales,5163.0,4535.0,6087.0,6067.0,4669.0,4575.0,6154.0,6369.0,2808.0,2531.0,2827.0,3018.0,8617.0,8888.0,9679.0,11882.0,9736.0,9704.0,11834.0,12015.0,1397.0,1164.0,1368.0,1143.0,9957.0,9627.0,11067.0,11393.0
Total,64166.0,65476.0,69612.0,69824.0,73347.0,81300.0,99579.0,124727.0,27804.0,25689.0,28095.0,31159.0,145350.0,140657.0,171074.0,183216.0,202208.0,197978.0,251636.0,281282.0,10834.0,8631.0,10703.0,9491.0,144143.0,133325.0,174357.0,166143.0
