Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",-0.05,0.03,0.03,-0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,5.51,0.17,0.0,-0.0
Industrias manufactureras,-39.45,2.95,-98.69,56.64
Comercio al por mayor,41.83,34.72,97.65,-3.02
Comercio al por menor,73.92,21.07,94.3,13.94
"Transportes, correos y almacenamiento",6.6,20.65,-1.37,27.83
Información en medios masivos,2.67,0.0,-0.01,0.0
Servicios financieros y de seguros,0.25,1.02,0.75,0.39
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.4,0.42,-3.16,1.03
"Servicios profesionales, científicos y técnicos",0.28,0.42,0.23,0.1
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.75,0.87,-17.79,0.25
Servicios educativos,0.06,4.69,0.67,0.01
Servicios de salud y de asistencia social,0.89,3.19,3.04,0.44
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.79,1.13,0.15,0.01
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.91,2.26,10.78,1.05
Otros servicios excepto actividades gubernamentales,2.63,6.42,13.43,1.33
Total,100.0,100.0,100.0,100.0
