Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",143.0,124.0,143.0,149.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,690.0,349.0,0.0,109.0
Industrias manufactureras,4889.0,4206.0,4933.0,4080.0
Comercio al por mayor,2236.0,2154.0,2525.0,2672.0
Comercio al por menor,10615.0,9453.0,9573.0,11724.0
"Transportes, correos y almacenamiento",612.0,1363.0,736.0,1333.0
Información en medios masivos,96.0,7.0,134.0,64.0
Servicios financieros y de seguros,124.0,152.0,131.0,132.0
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,187.0,199.0,218.0,329.0
"Servicios profesionales, científicos y técnicos",568.0,511.0,449.0,517.0
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",340.0,362.0,1006.0,215.0
Servicios educativos,514.0,741.0,970.0,598.0
Servicios de salud y de asistencia social,634.0,577.0,783.0,947.0
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",203.0,135.0,159.0,275.0
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3145.0,2825.0,3508.0,4997.0
Otros servicios excepto actividades gubernamentales,2808.0,2531.0,2827.0,3018.0
Total,27804.0,25689.0,28095.0,31159.0
