Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.51,0.48,0.51,0.48
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,2.48,1.36,0.0,0.35
Industrias manufactureras,17.58,16.37,17.56,13.09
Comercio al por mayor,8.04,8.38,8.99,8.58
Comercio al por menor,38.18,36.8,34.07,37.63
"Transportes, correos y almacenamiento",2.2,5.31,2.62,4.28
Información en medios masivos,0.35,0.03,0.48,0.21
Servicios financieros y de seguros,0.45,0.59,0.47,0.42
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.67,0.77,0.78,1.06
"Servicios profesionales, científicos y técnicos",2.04,1.99,1.6,1.66
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.22,1.41,3.58,0.69
Servicios educativos,1.85,2.88,3.45,1.92
Servicios de salud y de asistencia social,2.28,2.25,2.79,3.04
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.73,0.53,0.57,0.88
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,11.31,11.0,12.49,16.04
Otros servicios excepto actividades gubernamentales,10.1,9.85,10.06,9.69
Total,100.0,100.0,100.0,100.0
