Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2.8200000000000003,23.538,11.29,30.471
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,100.239,65.833,0.0,20.869
Industrias manufactureras,908.919,1013.962,1329.678,1171.937
Comercio al por mayor,367.685,326.68699999999995,680.371,840.0360000000001
Comercio al por menor,599.0530000000001,741.1489999999999,1878.686,1511.168
"Transportes, correos y almacenamiento",264.655,252.968,335.933,983.575
Información en medios masivos,45.91199999999999,6.609,7.847,12.547
Servicios financieros y de seguros,4.425,10.927,12.429,14.51
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,25.313,38.473,56.478,83.999
"Servicios profesionales, científicos y técnicos",20.838,25.368,33.024,49.255
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",16.764,25.596,65.571,21.202
Servicios educativos,28.149,88.643,761.217,90.27
Servicios de salud y de asistencia social,29.169,51.944,110.508,152.59
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",22.939,9.344,13.257,48.095000000000006
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,151.986,159.896,233.619,467.309
Otros servicios excepto actividades gubernamentales,208.964,222.787,285.353,273.3
Total,2797.83,3063.724,5815.261,5771.133000000001
