Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",147.868,101.22,62.496,176.036
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,844.348,384.485,537.101,865.588
Industrias manufactureras,11043.532,11262.29,24392.175,38193.135
Comercio al por mayor,810.2919999999999,947.325,1691.727,4736.785
Comercio al por menor,1826.298,2669.039,7127.187,12653.789
"Transportes, correos y almacenamiento",550.566,567.0989999999999,3126.581,3048.9410000000003
Información en medios masivos,158.42000000000002,148.916,142.799,254.28
Servicios financieros y de seguros,66.804,76.742,240.893,295.13899999999995
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,167.782,93.643,312.227,587.355
"Servicios profesionales, científicos y técnicos",233.112,118.695,271.269,326.71
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",561.682,566.708,874.438,917.645
Servicios educativos,194.134,566.341,564.017,639.712
Servicios de salud y de asistencia social,220.283,295.466,461.653,1031.791
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",58.14,59.322,52.505,202.662
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,575.715,561.987,1199.681,3035.2870000000003
Otros servicios excepto actividades gubernamentales,369.715,946.306,737.7810000000001,1549.547
Total,17828.691,19365.584000000003,41794.52999999999,68514.402
