Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.83,0.52,0.15,0.26
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,4.74,1.99,1.29,1.26
Industrias manufactureras,61.94,58.16,58.36,55.74
Comercio al por mayor,4.54,4.89,4.05,6.91
Comercio al por menor,10.24,13.78,17.05,18.47
"Transportes, correos y almacenamiento",3.09,2.93,7.48,4.45
Información en medios masivos,0.89,0.77,0.34,0.37
Servicios financieros y de seguros,0.37,0.4,0.58,0.43
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.94,0.48,0.75,0.86
"Servicios profesionales, científicos y técnicos",1.31,0.61,0.65,0.48
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",3.15,2.93,2.09,1.34
Servicios educativos,1.09,2.92,1.35,0.93
Servicios de salud y de asistencia social,1.24,1.53,1.1,1.51
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.33,0.31,0.13,0.3
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3.23,2.9,2.87,4.43
Otros servicios excepto actividades gubernamentales,2.07,4.89,1.77,2.26
Total,100.0,100.0,100.0,100.0
