Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",3301.0,2808.0,2915.0,2850.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,6784.0,1903.0,1986.0,2044.0
Industrias manufactureras,65643.0,68683.0,93436.0,91713.0
Comercio al por mayor,5055.0,4298.0,4788.0,5779.0
Comercio al por menor,26299.0,24394.0,25270.0,33818.0
"Transportes, correos y almacenamiento",2795.0,5038.0,5245.0,6433.0
Información en medios masivos,1075.0,693.0,698.0,634.0
Servicios financieros y de seguros,651.0,581.0,1151.0,907.0
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1146.0,890.0,1081.0,1587.0
"Servicios profesionales, científicos y técnicos",1787.0,1694.0,1790.0,1684.0
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",7132.0,5198.0,4019.0,2317.0
Servicios educativos,2766.0,3955.0,4146.0,3230.0
Servicios de salud y de asistencia social,2987.0,3620.0,4033.0,4195.0
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",784.0,602.0,747.0,937.0
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,8528.0,7412.0,10090.0,13206.0
Otros servicios excepto actividades gubernamentales,8617.0,8888.0,9679.0,11882.0
Total,145350.0,140657.0,171074.0,183216.0
