Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2.27,2.0,1.7,1.56
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,4.67,1.35,1.16,1.12
Industrias manufactureras,45.16,48.83,54.62,50.06
Comercio al por mayor,3.48,3.06,2.8,3.15
Comercio al por menor,18.09,17.34,14.77,18.46
"Transportes, correos y almacenamiento",1.92,3.58,3.07,3.51
Información en medios masivos,0.74,0.49,0.41,0.35
Servicios financieros y de seguros,0.45,0.41,0.67,0.5
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.79,0.63,0.63,0.87
"Servicios profesionales, científicos y técnicos",1.23,1.2,1.05,0.92
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",4.91,3.7,2.35,1.26
Servicios educativos,1.9,2.81,2.42,1.76
Servicios de salud y de asistencia social,2.06,2.57,2.36,2.29
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.54,0.43,0.44,0.51
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,5.87,5.27,5.9,7.21
Otros servicios excepto actividades gubernamentales,5.93,6.32,5.66,6.49
Total,100.0,100.0,100.0,100.0
