Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.773,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,1310.783,753.5319999999999,956.539,1098.38
Industrias manufactureras,33146.685000000005,27945.869,33514.883,74739.30099999999
Comercio al por mayor,1754.9399999999998,2042.318,5289.121,6825.884
Comercio al por menor,3077.114,4150.474,11110.163,16232.813000000002
"Transportes, correos y almacenamiento",1595.467,1351.516,1712.682,5093.777999999999
Información en medios masivos,486.746,352.492,3113.504,997.716
Servicios financieros y de seguros,49.319,131.69,146.96800000000002,381.104
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,402.29,338.288,382.421,432.193
"Servicios profesionales, científicos y técnicos",957.786,482.717,538.389,812.688
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1668.881,1255.295,1670.293,1227.9620000000002
Servicios educativos,287.878,591.674,735.079,1256.358
Servicios de salud y de asistencia social,337.192,353.959,564.024,1260.208
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",56.206,62.453,71.688,165.56199999999998
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,881.385,923.351,1322.429,3355.264
Otros servicios excepto actividades gubernamentales,116.251,580.708,1547.412,2111.542
Total,46128.923,41316.336,62676.368,115990.753
