Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,-0.0,0.0,0.0
Minería,0.0,-0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,-0.0,0.0,0.0
Construcción,17.35,-0.11,-1.08,0.4
Industrias manufactureras,46.0,-69.55,37.25,55.48
Comercio al por mayor,2.7,-4.09,10.31,4.44
Comercio al por menor,13.71,204.46,24.24,11.89
"Transportes, correos y almacenamiento",7.14,-23.08,3.86,21.67
Información en medios masivos,2.36,0.3,18.35,0.12
Servicios financieros y de seguros,0.05,-0.17,0.11,0.05
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.74,-0.74,1.48,1.21
"Servicios profesionales, científicos y técnicos",2.76,-1.01,0.81,0.15
Dirección y administración de grupos empresariales o corporativos,0.0,-0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.07,-0.81,1.54,0.62
Servicios educativos,1.63,-1.1,0.53,0.41
Servicios de salud y de asistencia social,1.72,-0.57,0.94,1.97
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.11,-0.13,-0.05,0.43
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.73,-1.24,1.41,0.78
Otros servicios excepto actividades gubernamentales,1.94,-2.17,0.3,0.36
Total,100.0,100.0,100.0,100.0
