Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,2.321,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,1427.415,899.527,860.1410000000001,1023.365
Industrias manufactureras,10890.321,18125.056,19533.917,28390.64
Comercio al por mayor,1067.986,1675.33,2503.323,2274.732
Comercio al por menor,2550.25,3815.312,8450.560000000001,8118.643
"Transportes, correos y almacenamiento",2551.2490000000003,3785.179,4242.329,5773.853
Información en medios masivos,337.726,208.171,1241.706,148.602
Servicios financieros y de seguros,27.925,39.268,133.197,213.132
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,300.812,444.965,629.207,348.323
"Servicios profesionales, científicos y técnicos",552.863,984.891,399.461,305.061
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",176.649,269.916,839.258,1441.054
Servicios educativos,369.927,248.362,585.763,894.295
Servicios de salud y de asistencia social,296.843,284.081,638.021,762.911
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",69.235,92.222,510.575,279.401
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,825.49,829.326,1463.268,2126.15
Otros servicios excepto actividades gubernamentales,590.92,597.499,1148.363,863.585
Total,22035.611,32299.105000000003,43181.41,52963.747
