Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.01,0.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,6.48,2.78,1.99,1.93
Industrias manufactureras,49.42,56.12,45.24,53.6
Comercio al por mayor,4.85,5.19,5.8,4.29
Comercio al por menor,11.57,11.81,19.57,15.33
"Transportes, correos y almacenamiento",11.58,11.72,9.82,10.9
Información en medios masivos,1.53,0.64,2.88,0.28
Servicios financieros y de seguros,0.13,0.12,0.31,0.4
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.37,1.38,1.46,0.66
"Servicios profesionales, científicos y técnicos",2.51,3.05,0.93,0.58
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.8,0.84,1.94,2.72
Servicios educativos,1.68,0.77,1.36,1.69
Servicios de salud y de asistencia social,1.35,0.88,1.48,1.44
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.31,0.29,1.18,0.53
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3.75,2.57,3.39,4.01
Otros servicios excepto actividades gubernamentales,2.68,1.85,2.66,1.63
Total,100.0,100.0,100.0,100.0
