Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",62.708,33.168,45.9,64.09700000000001
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.0,0.0,38.583,36.444
Industrias manufactureras,211.593,366.161,360.161,513.684
Comercio al por mayor,116.672,79.699,281.967,489.81
Comercio al por menor,364.413,508.684,1064.279,2184.282
"Transportes, correos y almacenamiento",104.274,78.01400000000001,140.92700000000002,265.76700000000005
Información en medios masivos,6.6370000000000005,5.503,0.0,0.0
Servicios financieros y de seguros,11.188,24.951,69.504,136.23399999999998
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,39.112,19.562,14.895,21.581000000000003
"Servicios profesionales, científicos y técnicos",22.829,16.976,31.098,63.624
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2.069,6.505,8.79,2.86
Servicios educativos,11.260000000000002,7.969,23.173,12.659
Servicios de salud y de asistencia social,43.7,47.865,71.747,120.514
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",5.355,5.149,5.285,10.738
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,137.863,150.303,279.384,505.156
Otros servicios excepto actividades gubernamentales,102.71,148.538,155.091,220.566
Total,1242.383,1499.047,2590.784,4648.016
