Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",5.05,2.21,1.77,1.38
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.0,0.0,1.49,0.78
Industrias manufactureras,17.03,24.43,13.9,11.05
Comercio al por mayor,9.39,5.32,10.88,10.54
Comercio al por menor,29.33,33.93,41.08,46.99
"Transportes, correos y almacenamiento",8.39,5.2,5.44,5.72
Información en medios masivos,0.53,0.37,0.0,0.0
Servicios financieros y de seguros,0.9,1.66,2.68,2.93
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3.15,1.3,0.57,0.46
"Servicios profesionales, científicos y técnicos",1.84,1.13,1.2,1.37
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.17,0.43,0.34,0.06
Servicios educativos,0.91,0.53,0.89,0.27
Servicios de salud y de asistencia social,3.52,3.19,2.77,2.59
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.43,0.34,0.2,0.23
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,11.1,10.03,10.78,10.87
Otros servicios excepto actividades gubernamentales,8.27,9.91,5.99,4.75
Total,100.0,100.0,100.0,100.0
