Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",520.0,463.0,296.0,281.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.0,0.0,90.0,51.0
Industrias manufactureras,1931.0,1262.0,1654.0,926.0
Comercio al por mayor,432.0,294.0,585.0,401.0
Comercio al por menor,3832.0,3185.0,3734.0,3873.0
"Transportes, correos y almacenamiento",167.0,204.0,312.0,309.0
Información en medios masivos,60.0,46.0,0.0,0.0
Servicios financieros y de seguros,44.0,73.0,108.0,102.0
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,175.0,124.0,133.0,125.0
"Servicios profesionales, científicos y técnicos",208.0,160.0,185.0,206.0
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",47.0,61.0,50.0,24.0
Servicios educativos,244.0,135.0,261.0,78.0
Servicios de salud y de asistencia social,473.0,400.0,479.0,427.0
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",95.0,48.0,56.0,55.0
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1209.0,1012.0,1392.0,1490.0
Otros servicios excepto actividades gubernamentales,1397.0,1164.0,1368.0,1143.0
Total,10834.0,8631.0,10703.0,9491.0
