Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",25.624,25.001,31.509,83.414
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0
Construcción,0.0,0.0,9.464,20.092
Industrias manufactureras,61.013000000000005,149.678,115.544,110.819
Comercio al por mayor,121.087,46.677,430.747,191.116
Comercio al por menor,311.109,300.697,474.166,688.934
"Transportes, correos y almacenamiento",18.803,42.244,183.019,106.54
Información en medios masivos,3.46,2.92,0.0,0.0
Servicios financieros y de seguros,2.728,20.525,14.641,14.835
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,34.284,33.166000000000004,68.283,66.837
"Servicios profesionales, científicos y técnicos",14.6,17.201999999999998,25.311,28.36
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2.302,2.941,5.1,1.583
Servicios educativos,3.362,7.978,19.189,3.614
Servicios de salud y de asistencia social,46.734,60.312,85.608,106.845
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",7.303,9.744,15.152,19.197
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,184.338,42.051,156.874,194.55
Otros servicios excepto actividades gubernamentales,49.944,97.908,97.913,100.838
Total,886.6909999999999,859.0440000000001,1732.5200000000002,1737.5739999999998
