Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.19,0.1,0.34,0.59
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,1.96
Construcción,1.83,1.49,1.14,2.14
Industrias manufactureras,88.09,90.71,87.41,79.97
Comercio al por mayor,1.15,1.13,1.15,1.96
Comercio al por menor,2.04,1.91,2.55,3.21
"Transportes, correos y almacenamiento",1.22,1.74,2.44,4.66
Información en medios masivos,2.6,0.01,0.26,0.0
Servicios financieros y de seguros,0.05,0.07,0.37,0.46
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.36,0.21,0.36,0.33
"Servicios profesionales, científicos y técnicos",0.37,0.28,0.29,0.26
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.26,0.45,0.71,0.21
Servicios educativos,0.26,0.33,0.38,0.34
Servicios de salud y de asistencia social,0.2,0.27,0.5,0.66
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.1,0.07,0.12,0.2
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.89,0.87,1.43,2.23
Otros servicios excepto actividades gubernamentales,0.4,0.36,0.55,0.83
Total,100.0,100.0,100.0,100.0
