Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",279.653,87.357,669.93,1290.764
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,2533.799
Construcción,1415.869,1151.794,1176.749,2023.544
Industrias manufactureras,7618.648999999999,22448.26,44174.421,61483.897
Comercio al por mayor,2636.519,2986.266,9047.296,9883.038
Comercio al por menor,3589.78,5799.723,10172.899,15005.678
"Transportes, correos y almacenamiento",2503.003,2978.3050000000003,5376.096,9357.709
Información en medios masivos,1484.786,60.56400000000001,747.32,0.0
Servicios financieros y de seguros,106.556,567.216,201.484,438.789
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,338.392,206.103,595.613,1139.042
"Servicios profesionales, científicos y técnicos",1116.384,316.26700000000005,937.849,885.194
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1243.4679999999998,1223.276,3201.5820000000003,1130.245
Servicios educativos,888.6690000000001,1277.353,1400.326,1894.847
Servicios de salud y de asistencia social,261.233,349.351,672.729,1541.837
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",152.61,149.827,303.127,419.735
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,905.465,993.848,2001.985,3556.01
Otros servicios excepto actividades gubernamentales,455.501,684.634,1042.536,1683.9589999999998
Total,24996.537,41280.14399999999,81721.94199999998,114268.087
