Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2916.0,1791.0,2626.0,2693.0
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,771.0
Construcción,12789.0,7307.0,6580.0,6822.0
Industrias manufactureras,21783.0,19992.0,31783.0,29518.0
Comercio al por mayor,9437.0,9346.0,9669.0,10206.0
Comercio al por menor,36950.0,36055.0,41082.0,42147.0
"Transportes, correos y almacenamiento",6265.0,7999.0,13826.0,15180.0
Información en medios masivos,2435.0,160.0,1561.0,0.0
Servicios financieros y de seguros,826.0,771.0,1859.0,1530.0
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1582.0,1526.0,2192.0,2214.0
"Servicios profesionales, científicos y técnicos",4619.0,3251.0,5365.0,3859.0
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",7709.0,8620.0,11871.0,4762.0
Servicios educativos,7675.0,8352.0,9220.0,7488.0
Servicios de salud y de asistencia social,4634.0,4871.0,5886.0,7006.0
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1184.0,1299.0,1778.0,1894.0
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,13382.0,12358.0,17992.0,18660.0
Otros servicios excepto actividades gubernamentales,9957.0,9627.0,11067.0,11393.0
Total,144143.0,133325.0,174357.0,166143.0
