Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",411.69,293.707,352.25600000000003,559.1669999999999
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,12137.961
Construcción,811.4110000000001,1138.632,1044.723,1970.66
Industrias manufactureras,33498.808999999994,59683.13,52490.653,52341.52
Comercio al por mayor,1859.628,2154.917,3221.8900000000003,3132.942
Comercio al por menor,3249.787,4026.022,7612.210999999999,7155.378
"Transportes, correos y almacenamiento",4877.207,13721.411,14704.367000000002,18709.617
Información en medios masivos,2272.272,19.681,249.903,0.0
Servicios financieros y de seguros,61.418,37.975,135.16,260.241
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,297.071,448.56,1314.99,1064.364
"Servicios profesionales, científicos y técnicos",527.009,247.463,546.165,323.589
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",155.013,246.153,611.588,312.129
Servicios educativos,1049.744,940.858,1103.95,2324.646
Servicios de salud y de asistencia social,469.368,656.482,951.974,1044.75
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",276.522,275.931,459.875,660.155
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1244.703,1345.085,2062.521,2413.7160000000003
Otros servicios excepto actividades gubernamentales,678.28,666.677,1242.099,1183.056
Total,51739.93199999999,85902.684,88104.325,105593.891
