Actividad económica,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.8,0.34,0.4,0.53
Minería,0.0,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,11.49
Construcción,1.57,1.33,1.19,1.87
Industrias manufactureras,64.74,69.48,59.58,49.57
Comercio al por mayor,3.59,2.51,3.66,2.97
Comercio al por menor,6.28,4.69,8.64,6.78
"Transportes, correos y almacenamiento",9.43,15.97,16.69,17.72
Información en medios masivos,4.39,0.02,0.28,0.0
Servicios financieros y de seguros,0.12,0.04,0.15,0.25
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.57,0.52,1.49,1.01
"Servicios profesionales, científicos y técnicos",1.02,0.29,0.62,0.31
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",0.3,0.29,0.69,0.3
Servicios educativos,2.03,1.1,1.25,2.2
Servicios de salud y de asistencia social,0.91,0.76,1.08,0.99
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.53,0.32,0.52,0.63
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.41,1.57,2.34,2.29
Otros servicios excepto actividades gubernamentales,1.31,0.78,1.41,1.12
Total,100.0,100.0,100.0,100.0
