Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",865.759,523.232,1803.219,2997.747,356.837,253.585,931.693,1335.395,508.922,269.647,871.526,1662.352,11.421,47.703,7.92,4.1,11.521,47.703,7.97,4.1,7727,6141,6948,6702,646.144,657.083,756.987,1247.658
Minería,47021.426,0.0,0.0,0.0,11064.209,0.0,0.0,0.0,35957.217,0.0,0.0,0.0,11994.865,0.0,0.0,0.0,13211.518,0.0,0.0,0.0,5029,0,0,0,20417.836,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",25629.206,3093.55,5574.368,12325.559,12568.941,707.159,3073.926,6396.588,13060.265,2386.391,2500.442,5928.971,1854.974,269.125,110.786,501.453,1602.694,266.171,109.666,473.406,10292,6027,5972,6559,69076.854,5167.394,7079.6,23389.633
Construcción,13878.761,8880.093,11894.567,15346.353,9373.397,5720.102,7433.774,9608.619,4505.364,3159.991,4460.793,5737.734,412.471,72.833,40.309,67.717,343.16,88.483,44.795,49.245,34631,18993,17846,17457,3909.787,3470.158,3302.296,5334.157
Industrias manufactureras,234673.053,273028.104,369691.382,424321.277,176066.237,204276.796,252416.81,220807.855,58606.816,68751.308,117274.572,203513.422,3228.079,3605.655,12245.686,4289.126,2861.59,4779.24,12172.824,5527.568,234244,233488,323720,343428,54800.88,97495.394,95927.72,109687.173
Comercio al por mayor,12207.715,14429.135,29393.112,41402.549,4587.367,5225.092,6281.601,9914.645,7620.348,9204.043,23111.511,31487.904,684.86,547.909,1401.057,177.254,323.405,362.62,1822.578,790.322,30570,31309,32014,37286,5593.569,7075.31,13418.205,12899.327
Comercio al por menor,21426.496,28071.414,58086.3,84470.252,8797.764,9966.361,16975.727,20098.139,12628.732,18105.053,41110.573,64372.113,1543.731,-6332.931,2105.828,3032.429,1073.852,-6954.435,1996.167,1632.811,144891,140266,153444,178017,13006.105,17263.234,34237.037,33272.564
"Transportes, correos y almacenamiento",15114.331,23768.457,32921.02,54171.161,6483.088,13136.811,16164.073,23879.09,8631.243,10631.646,16756.947,30292.071,1407.009,2501.516,842.441,3399.521,1405.229,2428.77,872.21,3399.495,27390,39845,52764,69398,14292.584,28128.609,31769.652,45604.882
Información en medios masivos,11903.121,2702.26,7825.736,4705.426,7344.262,1266.528,3232.569,2102.595,4558.859,1435.732,4593.167,2602.831,922.87,-9.899,594.127,21.753,662.812,3.17,594.934,21.809,9278,5351,7413,6544,7000.062,808.92,1842.055,826.098
Servicios financieros y de seguros,614.282,1315.937,2860.975,3741.724,279.858,405.414,1936.323,2006.464,334.424,910.523,924.652,1735.26,22.551,7.437,21.942,45.012,19.407,9.018,21.092,51.686,3086,3284,6410,5093,157.138,188.525,438.589,932.395
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,2837.83,2021.337,2812.837,4206.979,1729.314,1173.595,1272.911,1413.762,1108.516,847.742,1539.926,2793.217,46.452,50.292,89.352,119.164,48.967,50.416,87.09,117.201,7225,6600,6685,8097,1227.78,1645.143,3162.69,2831.51
