Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023,A121A_2008,A121A_2013,A121A_2018,A121A_2023,A131A_2008,A131A_2013,A131A_2018,A131A_2023,A211A_2008,A211A_2013,A211A_2018,A211A_2023,A221A_2008,A221A_2013,A221A_2018,A221A_2023,H001A_2008,H001A_2013,H001A_2018,H001A_2023,Q000A_2008,Q000A_2013,Q000A_2018,Q000A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.21,0.13,0.32,0.42,0.14,0.1,0.28,0.41,0.31,0.2,0.36,0.43,0.05,3.14,0.04,0.03,0.05,2.62,0.04,0.03,1.13,0.93,0.85,0.77,0.32,0.37,0.35,0.47
Minería,11.4,0.0,0.0,0.0,4.42,0.0,0.0,0.0,22.18,0.0,0.0,0.0,53.04,0.0,0.0,0.0,59.93,0.0,0.0,0.0,0.73,0.0,0.0,0.0,10.03,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",6.22,0.79,0.97,1.72,5.02,0.27,0.93,1.97,8.06,1.8,1.04,1.52,8.2,17.7,0.61,4.05,7.27,14.64,0.6,3.7,1.5,0.91,0.73,0.75,33.93,2.89,3.3,8.86
Construcción,3.37,2.28,2.08,2.15,3.75,2.22,2.24,2.95,2.78,2.38,1.86,1.47,1.82,4.79,0.22,0.55,1.56,4.87,0.24,0.38,5.05,2.87,2.19,2.0,1.92,1.94,1.54,2.02
Industrias manufactureras,56.91,70.0,64.58,59.33,70.37,79.39,75.98,67.89,36.15,51.8,48.83,52.19,14.27,237.14,67.62,34.66,12.98,262.86,66.23,43.16,34.18,35.24,39.77,39.25,26.92,54.56,44.76,41.56
Comercio al por mayor,2.96,3.7,5.13,5.79,1.83,2.03,1.89,3.05,4.7,6.94,9.62,8.08,3.03,36.04,7.74,1.43,1.47,19.94,9.92,6.17,4.46,4.73,3.93,4.26,2.75,3.96,6.26,4.89
Comercio al por menor,5.2,7.2,10.15,11.81,3.52,3.87,5.11,6.18,7.79,13.64,17.12,16.51,6.83,-416.51,11.63,24.5,4.87,-382.5,10.86,12.75,21.14,21.17,18.85,20.35,6.39,9.66,15.98,12.61
"Transportes, correos y almacenamiento",3.67,6.09,5.75,7.57,2.59,5.11,4.87,7.34,5.32,8.01,6.98,7.77,6.22,164.52,4.65,27.47,6.37,133.58,4.75,26.54,4.0,6.01,6.48,7.93,7.02,15.74,14.83,17.28
Información en medios masivos,2.89,0.69,1.37,0.66,2.94,0.49,0.97,0.65,2.81,1.08,1.91,0.67,4.08,-0.65,3.28,0.18,3.01,0.17,3.24,0.17,1.35,0.81,0.91,0.75,3.44,0.45,0.86,0.31
Servicios financieros y de seguros,0.15,0.34,0.5,0.52,0.11,0.16,0.58,0.62,0.21,0.69,0.38,0.45,0.1,0.49,0.12,0.36,0.09,0.5,0.11,0.4,0.45,0.5,0.79,0.58,0.08,0.11,0.2,0.35
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.69,0.52,0.49,0.59,0.69,0.46,0.38,0.43,0.68,0.64,0.64,0.72,0.21,3.31,0.49,0.96,0.22,2.77,0.47,0.92,1.05,1.0,0.82,0.93,0.6,0.92,1.48,1.07
"Servicios profesionales, científicos y técnicos",1.07,0.97,0.63,0.6,0.67,0.99,0.41,0.47,1.68,0.92,0.93,0.71,0.32,2.83,0.24,0.03,0.33,2.56,0.23,0.12,2.1,1.7,1.58,1.29,0.72,0.89,0.65,0.5
Dirección y administración de grupos empresariales o corporativos,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.26,1.56,1.84,0.86,0.49,0.84,1.04,0.64,2.46,2.96,2.95,1.04,0.14,4.05,0.49,1.07,0.17,3.25,0.49,1.05,4.16,4.56,3.8,1.61,0.34,1.54,0.97,0.9
Servicios educativos,0.59,1.21,1.05,0.92,0.29,0.53,0.63,0.52,1.06,2.53,1.62,1.26,0.51,17.66,0.33,1.12,0.52,14.84,0.33,1.13,2.57,3.43,3.04,2.37,0.94,1.61,1.68,1.92
Servicios de salud y de asistencia social,0.49,0.67,0.82,1.23,0.38,0.48,0.73,1.09,0.67,1.03,0.95,1.35,0.3,6.33,0.64,1.31,0.3,5.06,0.62,1.22,2.45,2.55,2.48,2.64,0.72,1.02,1.39,1.38
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.16,0.25,0.17,0.24,0.11,0.17,0.12,0.2,0.24,0.39,0.23,0.28,0.05,2.5,0.16,0.65,0.05,2.07,0.15,0.63,0.54,0.56,0.57,0.63,0.37,0.41,0.69,0.74
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,1.8,2.22,2.64,3.84,1.62,1.97,2.63,4.1,2.07,2.7,2.65,3.63,0.39,7.43,1.06,0.92,0.39,6.36,1.02,0.87,6.94,6.82,7.16,7.95,2.09,2.28,3.0,3.33
Otros servicios excepto actividades gubernamentales,0.93,1.38,1.52,1.73,1.02,0.91,1.23,1.49,0.78,2.29,1.93,1.93,0.42,9.24,0.68,0.69,0.4,6.4,0.68,0.76,6.18,6.2,6.04,5.93,1.44,1.65,2.06,1.79
Total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
