Actividad económica,A121A_2008,A121A_2013,A121A_2018,A121A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",356.837,253.585,931.693,1335.395
Minería,11064.209,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",12568.941,707.159,3073.926,6396.588
Construcción,9373.397,5720.102,7433.774,9608.619
Industrias manufactureras,176066.237,204276.796,252416.81,220807.855
Comercio al por mayor,4587.367,5225.092,6281.601,9914.645
Comercio al por menor,8797.764,9966.361,16975.727,20098.139
"Transportes, correos y almacenamiento",6483.088,13136.811,16164.073,23879.09
Información en medios masivos,7344.262,1266.528,3232.569,2102.595
Servicios financieros y de seguros,279.858,405.414,1936.323,2006.464
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1729.314,1173.595,1272.911,1413.762
"Servicios profesionales, científicos y técnicos",1671.081,2559.136,1345.755,1539.266
Dirección y administración de grupos empresariales o corporativos,120.124,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1217.208,2149.334,3438.706,2069.496
Servicios educativos,715.51,1370.945,2098.043,1683.369
Servicios de salud y de asistencia social,943.242,1233.337,2413.557,3530.62
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",267.0,444.025,393.366,655.918
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,4052.713,5072.532,8734.941,13335.273
Otros servicios excepto actividades gubernamentales,2563.702,2353.6,4078.46,4858.883
Total,250201.854,257314.352,332222.235,325235.977
