Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.31,0.2,0.36,0.43
Minería,22.18,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",8.06,1.8,1.04,1.52
Construcción,2.78,2.38,1.86,1.47
Industrias manufactureras,36.15,51.8,48.83,52.19
Comercio al por mayor,4.7,6.94,9.62,8.08
Comercio al por menor,7.79,13.64,17.12,16.51
"Transportes, correos y almacenamiento",5.32,8.01,6.98,7.77
Información en medios masivos,2.81,1.08,1.91,0.67
Servicios financieros y de seguros,0.21,0.69,0.38,0.45
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,0.68,0.64,0.64,0.72
"Servicios profesionales, científicos y técnicos",1.68,0.92,0.93,0.71
Dirección y administración de grupos empresariales o corporativos,0.06,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2.46,2.96,2.95,1.04
Servicios educativos,1.06,2.53,1.62,1.26
Servicios de salud y de asistencia social,0.67,1.03,0.95,1.35
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.24,0.39,0.23,0.28
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.07,2.7,2.65,3.63
Otros servicios excepto actividades gubernamentales,0.78,2.29,1.93,1.93
Total,100.0,100.0,100.0,100.0
