Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",7727,6141,6948,6702
Minería,5029,0,0,0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",10292,6027,5972,6559
Construcción,34631,18993,17846,17457
Industrias manufactureras,234244,233488,323720,343428
Comercio al por mayor,30570,31309,32014,37286
Comercio al por menor,144891,140266,153444,178017
"Transportes, correos y almacenamiento",27390,39845,52764,69398
Información en medios masivos,9278,5351,7413,6544
Servicios financieros y de seguros,3086,3284,6410,5093
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,7225,6600,6685,8097
"Servicios profesionales, científicos y técnicos",14393,11289,12862,11329
Dirección y administración de grupos empresariales o corporativos,15,0,0,0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",28543,30234,30926,14044
Servicios educativos,17644,22744,24747,20772
Servicios de salud y de asistencia social,16791,16916,20148,23132
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",3715,3723,4638,5554
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,47588,45166,58235,69550
Otros servicios excepto actividades gubernamentales,42373,41099,49132,51903
Total,685425,662475,813904,874865
