Actividad económica,H001A_2008,H001A_2013,H001A_2018,H001A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1.13,0.93,0.85,0.77
Minería,0.73,0.0,0.0,0.0
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",1.5,0.91,0.73,0.75
Construcción,5.05,2.87,2.19,2.0
Industrias manufactureras,34.18,35.24,39.77,39.25
Comercio al por mayor,4.46,4.73,3.93,4.26
Comercio al por menor,21.14,21.17,18.85,20.35
"Transportes, correos y almacenamiento",4.0,6.01,6.48,7.93
Información en medios masivos,1.35,0.81,0.91,0.75
Servicios financieros y de seguros,0.45,0.5,0.79,0.58
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1.05,1.0,0.82,0.93
"Servicios profesionales, científicos y técnicos",2.1,1.7,1.58,1.29
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",4.16,4.56,3.8,1.61
Servicios educativos,2.57,3.43,3.04,2.37
Servicios de salud y de asistencia social,2.45,2.55,2.48,2.64
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.54,0.56,0.57,0.63
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6.94,6.82,7.16,7.95
Otros servicios excepto actividades gubernamentales,6.18,6.2,6.04,5.93
Total,100.0,100.0,100.0,100.0
