Actividad económica,Frontera_2008,Frontera_2013,Frontera_2018,Frontera_2023,Ribereña_2008,Ribereña_2013,Ribereña_2018,Ribereña_2023,Reynosa_2008,Reynosa_2013,Reynosa_2018,Reynosa_2023,Matamoros_2008,Matamoros_2013,Matamoros_2018,Matamoros_2023,Centro_2008,Centro_2013,Centro_2018,Centro_2023,Mante_2008,Mante_2013,Mante_2018,Mante_2023,Sur_2008,Sur_2013,Sur_2018,Sur_2023,Sectores
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0,62.708,33.168,45.9,64.09700000000001,0.0,0.0,1.46,0.0,212.804,151.666,198.889,368.571,17.436,58.58800000000001,123.44999999999999,153.57100000000003,24.961,13.859,20.157999999999998,14.818999999999999,535.113,245.99,1334.1589999999999,2277.344,
Minería,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5819.587,
Construcción,715.102,475.317,1278.222,3049.918,0.0,0.0,38.583,36.444,4178.231,1951.131,2828.1730000000002,2586.659,2638.352,1087.309,1366.597,2006.778,2341.873,1640.333,1558.098,1847.138,143.728,79.201,0.0,35.228,3834.8289999999997,3548.298,3407.963,5599.42,
Industrias manufactureras,7468.895,10619.52,20007.034,38818.183,211.59300000000002,366.161,360.161,513.684,76503.742,62434.286,79038.611,119734.899,21657.729,24109.505,48018.361,62711.848,2796.612,4470.106,3325.0170000000003,4000.399,1766.1660000000002,2972.392,3605.9759999999997,3129.536,124263.357,168049.122,215329.95299999998,195409.43,
Comercio al por mayor,1418.933,1474.569,3081.857,3835.893,116.67200000000001,79.699,281.967,489.81,2753.408,3333.241,6595.604,8958.169,1574.327,1500.35,2620.567,6263.472,1394.646,2217.033,3559.022,5682.516,787.7269999999999,1009.3249999999999,1892.1100000000001,3003.2810000000004,4155.435,4804.110000000001,11303.283,13159.867999999999,
Comercio al por menor,2735.682,3129.475,6877.572,10666.577,364.413,508.684,1064.279,2184.282,5064.38,6528.759,15338.949,21723.949,3284.2070000000003,4251.107,10037.036,15906.051,2702.1839999999997,3687.166,7254.477,10255.432,989.599,1096.107,2349.035,3345.1180000000004,6285.09,8870.116,15163.38,20384.279000000002,
"Transportes, correos y almacenamiento",6039.011,7679.059,10037.432,17166.123,104.274,78.01400000000001,140.92700000000002,265.76700000000005,2242.217,3019.913,3791.1380000000004,9600.801,1164.37,1825.4070000000002,5560.904,5870.635,1182.539,1968.827,2473.554,2960.174,174.612,523.8589999999999,496.481,725.656,4117.014,5776.762,10152.734,17168.808,
Información en medios masivos,0.0,332.612,0.0,562.894,6.6370000000000005,5.503,0.0,0.0,1316.646,713.409,5096.283,1651.1100000000001,458.998,297.434,403.636,560.1030000000001,4799.987,543.651,446.364,459.683,36.939,2.48,64.41,52.299,4922.968,76.61,1247.3180000000002,0.0,
Servicios financieros y de seguros,51.596,93.234,309.553,412.453,11.188,24.951,69.504,136.23399999999998,121.618,247.193,588.479,730.319,139.367,155.784,542.2760000000001,711.199,69.158,88.882,315.727,387.551,41.216,26.624,99.893,130.084,168.943,671.613,928.934,1206.289,
