Actividad económica,Frontera_2008,Frontera_2013,Frontera_2018,Frontera_2023,Ribereña_2008,Ribereña_2013,Ribereña_2018,Ribereña_2023,Reynosa_2008,Reynosa_2013,Reynosa_2018,Reynosa_2023,Matamoros_2008,Matamoros_2013,Matamoros_2018,Matamoros_2023,Centro_2008,Centro_2013,Centro_2018,Centro_2023,Mante_2008,Mante_2013,Mante_2018,Mante_2023,Sur_2008,Sur_2013,Sur_2018,Sur_2023,Sectores
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0,16.972,15.386,23.291,28.997,0.0,0.0,0.687,0.0,64.936,50.446,136.393,192.535,5.245,16.225,64.029,75.964,6.949,6.133000000000001,6.286,4.087,255.46,158.633,664.229,986.5799999999999,
Minería,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3285.788,
Construcción,465.01,286.367,688.215,2000.645,0.0,0.0,29.947000000000003,28.036,2867.4480000000003,1197.599,1871.634,1488.279,1794.004,702.824,829.496,1141.19,1709.149,1022.34,976.542,1205.209,98.274,43.756,0.0,20.466,2418.96,2396.504,2231.214,3575.876,
Industrias manufactureras,2611.147,5617.562,8017.664,13325.015,80.119,254.986,173.44299999999998,306.343,43357.057,34488.417,45523.728,44995.598,10614.197,12847.215,23626.186,24518.713000000003,1437.297,2998.346,1303.364,1863.299,1318.377,2464.634,2612.331,1870.802,116644.708,145600.862,171155.532,133925.533,
Comercio al por mayor,491.785,514.424,578.412,883.288,42.019999999999996,19.223,117.32300000000001,99.65,998.468,1290.923,1306.483,2132.285,764.035,553.025,928.84,1526.6870000000001,479.815,745.0,633.817,1357.837,290.177,279.072,434.984,637.448,1518.9160000000002,1817.844,2255.987,3276.83,
Comercio al por menor,1161.558,1184.385,1923.975,2431.342,140.518,137.642,251.38799999999998,623.81,1987.266,2378.285,4228.786,5491.136,1457.909,1582.0680000000002,2909.849,3252.2619999999997,1007.887,1256.435,1991.0819999999999,2075.7400000000002,346.91999999999996,357.15299999999996,679.723,844.804,2695.31,3070.393,4990.481,5378.601,
"Transportes, correos y almacenamiento",3141.518,4833.946,5512.409,6511.825,21.732999999999997,31.466,77.00800000000001,126.436,646.75,1668.397,2078.456,4507.023,613.804,1258.308,2434.323,2821.694,314.284,1009.756,899.611,1546.851,107.101,366.611,293.951,343.501,1614.011,2798.457,4776.638,7811.099,
Información en medios masivos,0.0,167.347,0.0,252.136,4.777,2.286,0.0,0.0,829.9,360.917,1982.779,653.394,300.578,148.518,260.837,305.823,2490.334,164.781,194.361,202.62300000000002,20.006999999999998,1.156,27.953,21.841,3438.1820000000002,16.046,499.998,0.0,
Servicios financieros y de seguros,29.5,41.56,168.817,190.555,6.840000000000001,11.062,45.329,56.793,72.299,115.503,441.511,349.21500000000003,72.563,79.042,301.383,416.06,19.229,38.724,180.076,173.397,12.005,10.777999999999999,69.14,44.545,62.387,104.39699999999999,727.45,767.5,
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,295.333,182.83,59.533,186.771,26.567,7.063,4.567,7.920999999999999,342.56,491.131,303.559,290.651,510.59200000000004,99.919,162.98600000000002,277.956,73.755,53.681000000000004,33.18,81.95,7.276,5.891,9.200000000000001,19.119,472.23900000000003,331.12,699.388,548.365,
"Servicios profesionales, científicos y técnicos",97.131,120.601,101.642,123.846,7.692,7.316,12.044,16.394,757.585,1765.407,408.997,603.441,152.975,105.363,142.69899999999998,155.81300000000002,148.322,90.87700000000001,83.157,170.72,12.960999999999999,14.922,18.739,25.090999999999998,493.99199999999996,454.111,577.6120000000001,441.97900000000004,
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
