Actividad económica,Frontera_2008,Frontera_2013,Frontera_2018,Frontera_2023,Ribereña_2008,Ribereña_2013,Ribereña_2018,Ribereña_2023,Reynosa_2008,Reynosa_2013,Reynosa_2018,Reynosa_2023,Matamoros_2008,Matamoros_2013,Matamoros_2018,Matamoros_2023,Centro_2008,Centro_2013,Centro_2018,Centro_2023,Mante_2008,Mante_2013,Mante_2018,Mante_2023,Sur_2008,Sur_2013,Sur_2018,Sur_2023,Sectores
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",0.0,0.0,0.0,0.0,25.624000000000002,25.001,31.509,83.414,0.0,0.0,2.321,0.0,143.27499999999998,240.636,282.828,422.68399999999997,40.403000000000006,54.894999999999996,51.308,89.66,2.8200000000000003,23.538,11.290000000000001,30.471,411.69,293.707,352.25600000000003,559.1669999999999,
Minería,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12137.961,
Construcción,167.401,202.385,244.685,636.704,0.0,0.0,9.463999999999999,20.092,1427.415,899.527,860.1410000000001,1023.365,502.82099999999997,397.654,284.447,627.7080000000001,888.693,679.675,609.897,612.612,100.239,65.833,0.0,20.869,811.4110000000001,1138.632,1044.723,1970.6599999999999,
Industrias manufactureras,2244.738,4128.072,5951.323,11127.023,61.013000000000005,149.678,115.54400000000001,110.81899999999999,10890.321,18125.056,19533.917,28390.64,6142.868,11792.393,14860.763,14466.462000000001,1051.474,2598.0719999999997,1644.53,2078.478,908.9190000000001,1013.962,1329.6779999999999,1171.937,33498.808999999994,59683.13,52490.653,52341.52,
Comercio al por mayor,494.551,620.977,1513.308,812.497,121.08699999999999,46.677,430.747,191.11599999999999,1067.9859999999999,1675.33,2503.323,2274.732,1091.496,1120.183,3418.154,3791.706,579.993,1124.897,1579.964,1852.338,367.685,326.68699999999995,680.371,840.0360000000001,1859.628,2154.917,3221.8900000000003,3132.942,
Comercio al por menor,1812.508,2581.252,2865.502,4093.738,311.109,300.697,474.166,688.934,2550.25,3815.312,8450.560000000001,8118.643,2669.169,3414.7309999999998,4365.76,7600.917,1813.2250000000001,2384.071,8589.374,4102.279,599.0530000000001,741.1489999999999,1878.6860000000001,1511.1680000000001,3249.787,4026.022,7612.210999999999,7155.378,
"Transportes, correos y almacenamiento",3633.222,6125.097,7248.079,11067.33,18.802999999999997,42.244,183.019,106.53999999999999,2551.2490000000003,3785.179,4242.329,5773.853,1299.984,1426.815,2285.149,3356.722,1521.491,2489.745,2468.7079999999996,4961.614,264.655,252.968,335.933,983.575,4877.207,13721.411,14704.367000000002,18709.617,
Información en medios masivos,0.0,83.123,0.0,93.834,3.46,2.92,0.0,0.0,337.726,208.171,1241.706,148.602,200.073,63.503,106.245,177.907,3913.6240000000003,300.457,117.466,121.194,45.91199999999999,6.609,7.847,12.547,2272.272,19.681,249.903,0.0,
Servicios financieros y de seguros,11.38,28.715,42.789,43.426,2.728,20.525,14.641,14.834999999999999,27.924999999999997,39.268,133.197,213.132,31.565,27.002000000000002,57.492999999999995,74.531,13.106,21.174,39.565,306.176,4.425,10.927,12.429,14.51,61.418,37.974999999999994,135.16,260.241,
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,153.367,182.323,386.068,473.044,34.284,33.166000000000004,68.283,66.837,300.812,444.965,629.207,348.323,251.576,339.56300000000005,491.599,506.88599999999997,157.019,152.96599999999998,212.98,281.518,25.313,38.473,56.477999999999994,83.999,297.07099999999997,448.56,1314.99,1064.364,
"Servicios profesionales, científicos y técnicos",74.985,90.89,126.37,173.12,14.600000000000001,17.201999999999998,25.311,28.36,552.863,984.891,399.461,305.061,128.86,102.343,116.605,232.51399999999998,154.239,120.659,133.788,198.52900000000002,20.838,25.368000000000002,33.024,49.254999999999995,527.009,247.46300000000002,546.165,323.589,
Dirección y administración de grupos empresariales o corporativos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",148.544,205.862,191.47,196.088,2.302,2.941,5.1,1.583,176.649,269.916,839.258,1441.054,126.462,1938.9699999999998,246.302,309.75100000000003,57.173,53.900000000000006,122.41,101.077,16.764,25.596,65.571,21.201999999999998,155.013,246.15300000000002,611.588,312.129,
Servicios educativos,100.257,566.664,289.168,580.117,3.362,7.978,19.189,3.614,369.92699999999996,248.362,585.763,894.295,170.165,880.654,391.565,434.017,185.749,137.59799999999998,442.103,748.05,28.148999999999997,88.643,761.217,90.27,1049.7440000000001,940.858,1103.95,2324.6459999999997,
Servicios de salud y de asistencia social,127.261,261.844,358.185,485.441,46.733999999999995,60.312,85.608,106.845,296.843,284.081,638.021,762.911,318.908,315.787,442.982,552.836,174.222,186.023,379.03700000000003,540.9399999999999,29.168999999999997,51.944,110.50800000000001,152.59,469.368,656.482,951.9739999999999,1044.75,
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",39.67,236.278,128.229,253.465,7.303,9.744,15.152,19.197,69.235,92.22200000000001,510.575,279.401,107.556,67.86999999999999,52.357,289.83099999999996,216.691,38.303000000000004,263.471,386.007,22.939,9.344,13.257,48.095000000000006,276.522,275.931,459.875,660.155,
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,558.593,671.759,973.149,1008.554,184.338,42.051,156.874,194.54999999999998,825.49,829.326,1463.268,2126.15,709.312,498.186,958.541,1656.9460000000001,571.376,534.936,582.414,918.5269999999999,151.986,159.896,233.619,467.30899999999997,1244.703,1345.085,2062.5209999999997,2413.7160000000003,
Otros servicios excepto actividades gubernamentales,312.281,349.786,514.021,627.782,49.944,97.90799999999999,97.913,100.838,590.92,597.499,1148.363,863.585,704.9300000000001,631.648,659.571,1043.272,391.609,344.293,470.553,622.287,208.964,222.787,285.353,273.3,678.28,666.677,1242.099,1183.056,
,9878.758000000002,16335.027,20832.346000000005,31672.162999999997,886.6909999999999,859.0440000000001,1732.5200000000002,1737.5739999999998,22035.611,32299.105000000003,43181.41,52963.746999999996,14599.02,23257.938000000002,29020.361000000004,35544.69,11730.087000000001,11221.664,17707.568,17921.286,2797.83,3063.7239999999997,5815.2609999999995,5771.133000000001,51739.93199999999,85902.684,88104.325,105593.89099999999,Total
