Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",38.07,9.703620829943043,19.949622166246854,3.3772652388797364
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,-19.591099078559896,-30.576406381192275,-25.2562656641604,-6.669654289372599
Industrias manufactureras,161.82469420493283,53.22314232574619,234.44347443187257,76.30810560774268
Comercio al por mayor,17.857217355027117,6.404621912588108,7.904813220417397,-2.027312342021891
Comercio al por menor,7.950941763624283,-25.36144761660666,16.098740893071472,10.262165985326368
"Transportes, correos y almacenamiento",6.253873643224791,4.7182924851086625,33.82482132819401,4.120281915473838
Información en medios masivos,2.4679231760735507,-0.6092067204135637,68.64552281917966,6.91010165184244
Servicios financieros y de seguros,34.534456355283304,16.062634989200863,13.878557874762809,2.2097201767304857
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,13.35979292493529,4.354662741362889,-131.20704845814979,33.435465768799105
"Servicios profesionales, científicos y técnicos",8.237284287011807,9.26061651217935,22.34846113719353,2.105678233438486
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",8.947948223629854,22.815487217487956,7.4867445230585625,19.490887713109938
Servicios educativos,3.8776824750525645,5.658638853771597,-7.7466163456533055,22.738589890397513
Servicios de salud y de asistencia social,25.584192439862537,10.320004288164666,14.499812382739211,21.273025452637103
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",209.2542372881356,12.07406230133503,18.801030264005153,4.239768238082697
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6.481104002380598,7.844780887561636,9.030884019644882,4.581336340569496
Otros servicios excepto actividades gubernamentales,10.200171544976948,7.347503267973855,6.11954402279886,4.254093057974621
Total,25.053499296484638,1.427980018163599,40.220155386556264,10.365781172256781
