Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,66.11171662125341,-43.87530120481928,1.486155661246912,4.737773735394949
Industrias manufactureras,8.434593004266839,9.021512586539496,32.44363019777716,3.9355773448066405
Comercio al por mayor,8.422619047619047,12.56989148638418,6.350256084847936,23.387518142235123
Comercio al por menor,6.446879150066401,2.7103165194585985,6.8620121088887585,6.28308200416879
"Transportes, correos y almacenamiento",3.2484456275555087,5.32524103400341,8.132454870161213,3.7714877509224807
Información en medios masivos,,-6.050733496332518,,27.535443037974684
Servicios financieros y de seguros,23.737894736842104,10.51909476661952,13.536088834053054,11.958554729011691
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,25.64991717283269,-16.691669432459342,7.424962605949808,8.071254402600921
"Servicios profesionales, científicos y técnicos",109.10375939849624,15.724743777452415,7.314666211371009,-0.8019623548257909
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",5.614307931570763,3.8631744040150564,8.376442536957558,2.9166886601565936
Servicios educativos,28.345206147840933,15.490511622541387,59.406187624750494,10.41830310298306
Servicios de salud y de asistencia social,57.663511187607575,7.099188790560472,4.67198645871116,26.83154062551713
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",587.9047619047619,4.54040162562754,4.829308633807476,6.191692307692308
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,12.047987830175632,8.81306077865335,7.458871250828816,25.447427293064877
Otros servicios excepto actividades gubernamentales,47.68771929824561,24.03711939787889,4.70649080981312,6.715845706654098
Total,19.38450665107692,-1.1268345283752994,15.757767542397882,4.750324173061199
