Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",-203.94642857142856,973.5306122449,528.0,-2050.0
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,62.85751295336787,231.95222929936304,,-67717.0
Industrias manufactureras,-68.70299663729622,645.4806659505907,-236.67734827986084,16.76821911810125
Comercio al por mayor,13.749171869667345,8.331696116298167,27.36813626863048,-13.014243759177683
Comercio al por menor,17.536618614320282,-158.63260858674414,42.594469952871215,48.181975626420076
"Transportes, correos y almacenamiento",178.8949777495232,63.96266843948963,-1176.5935754189945,27.049882236863045
Información en medios masivos,290.7592942659105,,-118825.4,5438.25
Servicios financieros y de seguros,75.42140468227424,3.839442436757873,55.83206106870229,25.839265212399543
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,97.79368421052632,63.10163111668757,-53.85895117540687,25.522381666309705
"Servicios profesionales, científicos y técnicos",215.9345238095238,54.0377358490566,363.0677966101695,9.228110599078342
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",15.545454545454545,37.38858530661809,-9.416425431542832,116.12609457092822
Servicios educativos,1591.6027397260275,30.205713643009787,170.07142857142858,2673.0961538461543
Servicios de salud y de asistencia social,62.91549295774648,15.930001654807215,72.72647427854454,80.90968063872255
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",13.10615711252654,17.725151656556232,379.1948051948052,1201.3731343283582
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,38.260430390865174,26.435057336765734,33.829471077304085,24.063888301248152
Otros servicios excepto actividades gubernamentales,30.33705357142857,11.551253596383066,17.380999715989777,14.247666666666667
Total,189.88293924025132,8.026405114209249,345.4021973410648,27.401403835082593
