Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",32.081460674157306,1.357010781441129,565.7142857142857,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,6.878643852978454,37.00863821138211,7.534392523364485,20.514086640411996
Industrias manufactureras,3.521524080067985,4.492440241463734,14.017577939434176,5.223850457819469
Comercio al por mayor,6.154772496472639,8.921419848571196,3.0900715914654855,-5.804755043227665
Comercio al por menor,6.079308633807476,3.1265874404902667,6.27979268430878,6.335789009629789
"Transportes, correos y almacenamiento",8.756754233648874,54.03659300542199,21.407831876397644,11.57760643533166
Información en medios masivos,109.77399785892709,4.437023756163154,38.920864723223055,3.9131138694009713
Servicios financieros y de seguros,16.854260089686097,7.481891348088531,9.112126245847177,21.567800670819356
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,46.452,5.061594202898551,12.403109383675737,4.977402781838687
"Servicios profesionales, científicos y técnicos",25.15742024965326,4.510709785804284,16.509441233140652,1.3767617738054314
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",1.4196451979376037,16.364336965187352,8.84550307180985,5.160758065143792
Servicios educativos,31.02456608811749,2.6321830067921868,7.478954642543033,30.3098560837331
Servicios de salud y de asistencia social,5.363403505963339,3.2117238848296803,4.304076631766541,7.7613804987793795
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",11.062724014336917,44.68823529411764,45.19814241486068,6.218960055628526
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,6.295180287593034,4.307061694501639,4.575947549770291,6.977243452125375
Otros servicios excepto actividades gubernamentales,7.6636861607862095,6.226835644968315,4.706671793885791,4.970983311042624
Total,14.285287698318696,-1.7387802992530117,9.800042537347359,7.287174830643413
