Actividad económica,A131A_2008,A131A_2013,A131A_2018,A131A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",,,1127.4592496765847,
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,3.4371547388087884,4.1935724030299975,4.663472163706864,5.223815073107668
Industrias manufactureras,1.76810489495405,2.4601599613882112,3.499178917020238,2.7229773262128854
Comercio al por mayor,4.342227084686656,4.5066649757775235,4.369631740321312,4.613014812440411
Comercio al por menor,4.104083241634856,4.362165140656224,3.700267313809887,3.965555015018037
"Transportes, correos y almacenamiento",5.409853666669383,7.866459590563486,9.784038718220895,5.946876954590484
Información en medios masivos,9.365991708200992,4.07309102050543,1.475240436498556,2.6087894751612684
Servicios financieros y de seguros,6.780834972323039,6.914139266459109,6.291519242284034,4.55324530836727
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,2.7555146784657834,2.5059771555597594,4.026782002034407,6.462892735421444
"Servicios profesionales, científicos y técnicos",2.840990576182989,2.518608211436515,4.158485778869925,3.420550075797846
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",2.389766556153494,3.132457310831318,4.242243127403396,3.317684097716378
Servicios educativos,5.9619178957752945,5.674631638368426,5.296030766761124,3.9212286625309027
Servicios de salud y de asistencia social,3.19869391919144,3.8505730889735816,4.0404362225720885,4.167527106636364
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",6.784097783154823,8.31854354474565,7.789630063608972,6.534730191710659
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3.80783426085082,3.878781741721187,4.807465656001192,4.216968023976652
Otros servicios excepto actividades gubernamentales,10.890246105409846,5.239161506299207,2.9933133515831596,3.566369506266037
Total,3.5145514453047166,3.2121411734089875,3.8322024179831224,3.361643888974495
