Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",4.8476230899830215,53.59887640449438,396.0,1.4844315713251266
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,
Construcción,,,-149.29259259259257,85.17861635220125
Industrias manufactureras,-144.91937149270484,1125.3604868913858,1159.0805489824893,2259.8134878819815
Comercio al por mayor,42.86000375492835,-1876.400684931507,-484.2920843415139,12.292233009708736
Comercio al por menor,44.00476041161882,-350.6023916292975,46.431944965051926,-99.8757986957381
"Transportes, correos y almacenamiento",1378.0695396669933,119119.8095238101,661.256671899529,-339952.10000000003
Información en medios masivos,2064.586129753915,-659.9333333333333,,
Servicios financieros y de seguros,,82.63333333333334,195.91071428571428,-294.19607843137254
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,131.59206798866856,287.3828571428572,172.82785299806577,-191.58199356913187
"Servicios profesionales, científicos y técnicos",73.80874872838251,187.59825327510916,67.15047021943575,-0.8642641346568838
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",290.0892857142857,215.31118881118883,190.1017316017316,132616.0
Servicios educativos,2766.3571428571427,5594.979166666667,11905.0,6950.05
Servicios de salud y de asistencia social,37.55885650224215,154.024,62.96903856599674,16.03946977940449
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",,36.24522900763358,108.14074074074074,-18.576505885068084
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,16.247482282730324,324.5890804597701,-3541.4444444444507,-59.430512016718886
Otros servicios excepto actividades gubernamentales,30.561194988756828,6.214168840932206,248.26977687626777,-6.782450015867979
Total,509.79618107218545,32.1024006080696,310.4315053228875,-502.4981524343201
