Actividad económica,A111A_2008,A111A_2013,A111A_2018,A111A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",1.617899396949803,2.127045814870523,1.3515772857657895,1.3163347302822936
Minería,,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",,,,2.117943936571444
Construcción,3.6191342560515736,2.5026345025135996,3.490227740148587,2.740704037203853
Industrias manufactureras,1.888513707222637,1.624692237309041,1.7168599948563588,2.1714472889051466
Comercio al por mayor,2.937770654576476,3.0034980464643812,2.60040485582817,3.146121906389942
Comercio al por menor,3.409099312818114,3.1647178007593135,3.8306960585304863,4.143892065056606
"Transportes, correos y almacenamiento",3.671187661737366,4.114494763675568,3.2425768270891364,3.155208037739137
Información en medios masivos,2.417874948608238,35.27294086933821,6.274050402543697,
Servicios financieros y de seguros,3.636031087408179,1.959367969351397,3.0798474380311194,3.101847069814945
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,3.5007666866922182,3.762566010762756,2.172073226198281,2.4931619935202356
"Servicios profesionales, científicos y técnicos",2.7274015509421403,4.900076326167154,2.3653779279044462,3.2543654821187595
Dirección y administración de grupos empresariales o corporativos,,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",3.283468813491541,3.13368805399339,2.2894960278329064,4.161114437511683
Servicios educativos,1.97218696651812,2.6190816968031925,2.7863739824995974,2.6804311505458323
Servicios de salud y de asistencia social,3.828268904507998,3.291265655899802,2.8567375748358996,3.3277146278067002
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",2.2444106711348986,3.718821763109854,1.7835554214677494,2.2819196361158203
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,3.558393361273262,3.6252867467295378,3.1370747715340794,3.7703723508820643
Otros servicios excepto actividades gubernamentales,3.8908961233316366,4.25090890756991,4.108976929325599,4.040767670785028
Total,2.619503920641249,1.9327394448691402,2.062501825463554,2.538367401490755
