Actividad económica,A211A_2008,A211A_2013,A211A_2018,A211A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",72.19035110760879,12.968178102006162,90.18396464646464,169.69658536585368
Minería,7.070814135882313,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",20.149413954050033,94.08175011611705,556.432735183146,165.6737480880561
Construcción,26.910105195274337,77.90174783408621,59.62985933662458,108.29150730244992
Industrias manufactureras,36.64429340174141,33.74740733653109,17.74104398887902,52.3664231360888
Comercio al por mayor,42.37422392897818,48.345362094800414,154.07216979751715,969.1648820336919
Comercio al por menor,29.261526133762946,-5.8304333333175435,17.30054306429585,20.30748584715421
"Transportes, correos y almacenamiento",45.8435788257218,12.47753002579236,27.871994596654243,10.341681372169784
Información en medios masivos,53.104325636330145,-2493.191433478129,236.40701903801715,587.8763848664553
Servicios financieros y de seguros,573.0799964524855,2274.9887051230335,1022.6448819615349,533.8854749844486
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,88.72560923103418,65.16527479519605,74.88750111916913,51.39119197072941
"Servicios profesionales, científicos y técnicos",39.09223474929018,79.65372439478584,61.949278745156626,219.88938826466918
Dirección y administración de grupos empresariales o corporativos,2860.197461212976,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",133.88140966451215,414.3205313499732,65.63946166896285,59.32436508415273
Servicios educativos,39.78579359136564,20.918569103995768,103.88383032339354,52.54415435860173
Servicios de salud y de asistencia social,56.36164465338408,54.21763880953618,41.66344047064507,34.332965345404986
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",180.40701441762513,85.89593260497566,81.5478457428591,41.37316751975351
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,131.73042619864782,64.42021300140762,78.12808123908428,116.06123956043956
Otros servicios excepto actividades gubernamentales,31.53208530855503,32.36255790949396,52.13986453916354,-616.2502865966356
Total,21.82309124635467,362.297346339872,49.36692853223207,61.99325803218774
