Actividad económica,A221A_2008,A221A_2013,A221A_2018,A221A_2023
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",368.14,4.39,223.75,323.61
Minería,35.42,,,
"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",105.74,30.52,1340.05,324.9
Construcción,118.56,17.35,138.19,232.03
Industrias manufactureras,162.23,10.14,40.04,87.02
Comercio al por mayor,219.19,13.17,137.42,7.89
Comercio al por menor,148.09,-1.15,34.67,46.24
"Transportes, correos y almacenamiento",234.83,4.25,67.26,20.31
Información en medios masivos,339.86,2273.53,577.4,1100.6
Servicios financieros y de seguros,3405.7,629.56,2577.74,925.06
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,434.08,20.29,177.63,99.85
"Servicios profesionales, científicos y técnicos",198.61,24.96,279.29,137.54
Dirección y administración de grupos empresariales o corporativos,15122.47,,,
"Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación",616.69,145.22,154.71,115.31
Servicios educativos,205.34,7.06,251.14,100.52
Servicios de salud y de asistencia social,288.81,19.19,102.35,65.97
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",936.54,28.85,188.52,79.72
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,694.41,21.44,194.51,221.4
Otros servicios excepto actividades gubernamentales,155.53,12.35,122.74,53.27
Total,100.0,100.0,100.0,100.0
